NO,RGN_SORT,ENG_CLSF,USE_CLSF,YR_2019,YR_2018,YR_2017,YR_2016,YR_2015,UNIT
99,부산,폐가스,사업용,-,-,-,-,-,MWh
100,부산,폐가스,자가용,-,-,-,-,"4,000 ",MWh
101,부산,산업폐기물,사업용,-,-,-,-,-,MWh
102,부산,산업폐기물,자가용,-,-,-,-,-,MWh
103,부산,생활폐기물,사업용,-,-,-,-,-,MWh
104,부산,생활폐기물,자가용,"4,828 ","7,180 ","5,752 ","6,555 ","6,894 ",MWh
105,부산,SRF,사업용,"98,048 ","130,924 ","124,385 ","112,950 ","121,620 ",MWh
106,부산,SRF,자가용,-,-,-,-,-,MWh
107,부산,시멘트킬른보조연료,자가용,-,-,-,-,-,MWh
108,부산,정제연료유,사업용,-,-,-,-,-,MWh
109,부산,연료전지,사업용,"247,325 ","260,749 ","182,151 ","29,932 ","24,921 ",MWh
110,부산,연료전지,자가용,817 ,713 ,591 ,394 ,261 ,MWh
111,부산,IGCC,사업용,-,-,-,-,-,MWh
112,대구,신재생에너지 총발전량,사업용,"133,048 ","121,053 ","111,197 ","123,388 ","107,338 ",MWh
113,대구,신재생에너지 총발전량,자가용,"58,328 ","58,375 ","50,058 ","40,006 ","36,459 ",MWh
114,대구,태양광,사업용,"82,179 ","58,726 ","47,831 ","40,559 ","33,150 ",MWh
115,대구,태양광,자가용,"39,324 ","32,925 ","28,297 ","21,108 ","16,669 ",MWh
116,대구,풍력,사업용,-,-,-,-,-,MWh
117,대구,풍력,자가용,25 ,28 ,27 ,25 ,25 ,MWh
118,대구,수력,사업용,"3,751 ","4,031 ","5,379 ","15,911 ","14,494 ",MWh
119,대구,수력,자가용,-,-,-,-,-,MWh
120,대구,해양,사업용,-,-,-,-,-,MWh
121,대구,바이오가스,사업용,-,-,-,-,-,MWh
122,대구,바이오가스,자가용,"6,772 ","7,016 ","5,875 ","6,808 ","7,570 ",MWh
123,대구,매립지가스,사업용,-,-,-,-,-,MWh
124,대구,매립지가스,자가용,-,-,-,-,-,MWh
