구,행정동,총사업체수,총종사자수,총여성종사자,자영업주_및_무급가족_소계,자영업주_및_무급가족_여성종사자,상용근로자_소계,상용근로자_여성종사자,임시_및_일용근로자_소계,임시_및_일용근로자_여성종사자,기타종사자_소계,기타종사자_여성종사자
성북구,삼선동,"1,834","8,921","4,527","1,808",811,"5,594","2,826","1,179",652,340,238
성북구,동선동,"2,037","9,961","5,632","2,059",964,"5,937","3,399","1,561",952,404,317
성북구,종암동,"2,034","8,629","4,076","2,282","1,020","4,746","2,153","1,469",819,132,84
성북구,석관동,"2,163","9,984","4,355","2,470","1,020","5,651","2,273","1,463",699,400,363
강북구,소계,"19,014","73,904","39,770","20,348","8,683","37,551","20,517","11,157","6,887","4,848","3,683"
강북구,번1동,"1,895","9,633","5,619","1,838",789,"4,430","2,396","1,479",930,"1,886","1,504"
강북구,번2동,640,"3,657","1,511",627,202,"2,588","1,084",400,193,42,32
강북구,번3동,869,"3,147","1,440",847,255,"1,857",979,299,189,144,17
강북구,수유1동,"1,473","5,349","2,905","1,638",763,"2,865","1,587",674,439,172,116
강북구,수유2동,"1,280","3,797","2,053","1,376",579,"1,754","1,084",617,347,50,43
강북구,수유3동,"2,542","9,146","4,940","2,812","1,290","3,902","2,094","1,641","1,004",791,552
강북구,삼양동,"1,059","3,509","2,076","1,146",464,"1,522",973,758,584,83,55
강북구,미아동,"1,740","6,824","3,748","1,866",812,"3,313","1,884","1,190",695,455,357
강북구,송중동,"2,117","8,611","5,141","2,204",975,"4,006","2,464","1,750","1,102",651,600
강북구,송천동,"2,041","7,973","4,357","2,347","1,029","4,134","2,366","1,047",630,445,332
강북구,삼각산동,782,"2,247","1,385",810,368,"1,104",783,302,213,31,21
강북구,우이동,"1,016","4,252","1,649","1,192",512,"2,583",892,418,217,59,28
강북구,인수동,"1,560","5,759","2,946","1,645",645,"3,493","1,931",582,344,39,26
도봉구,소계,"18,628","72,939","35,341","19,781","7,765","39,589","19,480","11,098","6,100","2,471","1,996"
도봉구,쌍문1동,913,"3,831","1,896",954,348,"2,407","1,257",442,269,28,22
도봉구,쌍문2동,"1,280","5,572","2,842","1,371",611,"2,928","1,389",969,601,304,241
도봉구,쌍문3동,966,"4,182","2,246","1,116",497,"2,310","1,307",673,411,83,31
도봉구,쌍문4동,611,"2,093","1,155",649,280,"1,117",685,266,166,61,24
도봉구,방학1동,"2,350","13,653","6,344","2,571","1,166","7,760","3,367","2,918","1,458",404,353
도봉구,방학2동,"1,219","2,909","1,478","1,493",619,"1,002",594,362,219,52,46
도봉구,방학3동,898,"3,169","1,720",903,306,"1,662",971,544,395,60,48
도봉구,창1동,"1,538","3,958","1,882","1,594",499,"1,796","1,044",461,236,107,103
도봉구,창2동,"1,410","4,428","2,032","1,568",642,"2,248","1,061",539,293,73,36
도봉구,창3동,915,"2,170","1,158","1,045",429,775,513,285,151,65,65
도봉구,창4동,"1,319","7,530","3,542","1,213",483,"4,308","2,026","1,536",594,473,439
도봉구,창5동,"2,157","7,359","3,717","2,137",620,"3,798","2,077","1,042",699,382,321
도봉구,도봉1동,"1,626","5,766","2,393","1,766",733,"3,262","1,225",600,332,138,103
도봉구,도봉2동,"1,426","6,319","2,936","1,401",532,"4,216","1,964",461,276,241,164
노원구,소계,"26,618","116,684","61,691","26,488","10,753","65,779","35,386","16,701","10,180","7,716","5,372"
노원구,월계1동,"1,466","6,721","2,723","1,574",651,"3,664","1,311","1,173",622,310,139
노원구,월계2동,930,"3,255","1,571",915,277,"1,946","1,063",172,107,222,124
노원구,월계3동,996,"4,143","1,951",995,358,"2,613","1,253",389,247,146,93
노원구,공릉2동,"1,955","11,629","5,780","1,933",749,"8,054","4,156","1,423",797,219,78
