구,행정동,사업체수,종사자수,평균종사자,사업체_평균연령
양천구,신월1동,"1,765","5,183",2.94,11년7개월
양천구,신월2동,"1,175","3,943",3.36,14년3개월
양천구,신월3동,958,"4,019",4.2,13년3개월
양천구,신월4동,"1,166","4,255",3.65,14년2개월
양천구,신월5동,994,"4,849",4.88,11년1개월
양천구,신월6동,"1,336","3,129",2.34,24년6개월
양천구,신월7동,"1,324","5,406",4.08,13년6개월
양천구,신정1동,"1,175","5,322",4.53,9년1개월
양천구,신정2동,"1,091","3,806",3.49,9년9개월
양천구,신정3동,"1,814","9,284",5.12,13년10개월
양천구,신정6동,714,"6,916",9.69,9년10개월
양천구,신정7동,"1,030","4,457",4.33,12년1개월
양천구,목5동,"1,565","10,700",6.84,8년9개월
양천구,신정4동,"3,090","15,439",5,9년11개월
강서구,소계,"39,458","257,494",6.53,8년8개월
강서구,염창동,"2,170","17,152",7.9,10년4개월
강서구,등촌1동,"1,812","15,763",8.7,8년8개월
강서구,등촌2동,737,"3,541",4.8,10년8개월
강서구,등촌3동,"2,533","19,252",7.6,8년9개월
강서구,화곡본동,"1,389","4,179",3.01,9년2개월
강서구,화곡2동,855,"2,732",3.2,9년9개월
강서구,화곡3동,"1,222","4,170",3.41,8년1개월
강서구,화곡4동,"1,469","3,988",2.71,9년3개월
강서구,화곡6동,"1,749","10,847",6.2,8년9개월
강서구,화곡8동,"1,275","4,167",3.27,8년8개월
강서구,가양1동,"5,790","56,353",9.73,5년2개월
강서구,가양2동,633,"3,383",5.34,9년6개월
강서구,가양3동,904,"7,374",8.16,11년2개월
강서구,발산1동,"3,375","19,865",5.89,7년9개월
강서구,공항동,"2,040","36,149",17.72,8년9개월
강서구,방화1동,"2,621","11,003",4.2,9년3개월
강서구,방화2동,"3,279","14,018",4.28,12년1개월
강서구,방화3동,893,"4,698",5.26,12년3개월
강서구,화곡1동,"3,048","10,879",3.57,8년5개월
강서구,우장산동,"1,664","7,981",4.8,8년4개월
구로구,소계,"38,756","225,668",5.82,11년6개월
구로구,신도림동,"2,784","15,121",5.43,10년11개월
구로구,구로1동,728,"3,603",4.95,13년0개월
구로구,구로3동,"7,883","92,379",11.72,7년11개월
구로구,구로4동,"2,133","6,044",2.83,9년8개월
구로구,구로5동,"4,477","26,529",5.93,14년10개월
구로구,고척1동,"2,541","10,116",3.98,12년11개월
구로구,고척2동,"1,460","4,177",2.86,12년6개월
구로구,개봉2동,"1,212","3,361",2.77,12년10개월
구로구,개봉3동,"1,020","7,391",7.25,12년3개월
구로구,오류1동,"1,187","4,795",4.04,11년1개월
구로구,오류2동,"1,729","9,157",5.3,12년2개월
구로구,수궁동,"1,258","6,199",4.93,13년10개월
구로구,가리봉동,993,"3,179",3.2,9년11개월
구로구,구로2동,"7,653","28,133",3.68,12년7개월
구로구,개봉1동,"1,698","5,484",3.23,11년9개월
금천구,소계,"33,814","242,686",7.18,9년12개월
금천구,가산동,"16,661","170,886",10.26,7년11개월
금천구,독산1동,"4,037","25,241",6.25,10년12개월
금천구,독산2동,"1,154","3,514",3.05,11년10개월
금천구,독산3동,"2,087","6,500",3.11,11년5개월
금천구,독산4동,994,"3,130",3.15,10년9개월
금천구,시흥1동,"3,078","15,728",5.11,10년9개월
금천구,시흥2동,651,"2,009",3.09,14년10개월
금천구,시흥3동,"3,167","10,083",3.18,13년6개월
금천구,시흥4동,853,"2,034",2.38,14년6개월
금천구,시흥5동,"1,132","3,561",3.15,12년6개월
영등포구,소계,"42,370","373,478",8.81,11년3개월
영등포구,여의도동,"8,132","160,633",19.75,10년0개월
영등포구,당산1동,"3,107","19,234",6.19,9년11개월
영등포구,당산2동,"2,289","22,947",10.02,9년4개월
영등포구,양평1동,"3,068","24,084",7.85,14년2개월
영등포구,양평2동,"2,182","19,921",9.13,10년1개월
영등포구,신길1동,"1,091","5,280",4.84,12년4개월
영등포구,신길3동,"1,369","2,905",2.12,19년7개월
영등포구,신길4동,433,"1,461",3.37,14년8개월
영등포구,신길5동,526,"2,563",4.87,12년0개월
영등포구,신길6동,"1,228","4,904",3.99,11년3개월
영등포구,신길7동,620,"2,932",4.73,9년10개월
영등포구,대림1동,"1,064","4,517",4.25,10년8개월
영등포구,대림2동,"1,378","4,520",3.28,8년4개월
영등포구,대림3동,"2,262","10,193",4.51,10년9개월
영등포구,영등포본동,"1,410","5,361",3.8,10년4개월
영등포구,영등포동,"5,883","34,391",5.85,11년5개월
영등포구,도림동,"1,021","2,975",2.91,11년4개월
영등포구,문래동,"5,307","44,657",8.41,12년2개월
동작구,소계,"19,793","106,159",5.36,11년2개월
동작구,노량진2동,"1,706","7,779",4.56,13년3개월
동작구,상도1동,"1,765","8,821",5,10년6개월
동작구,상도2동,"1,398","5,299",3.79,10년3개월
동작구,상도3동,"1,011","3,477",3.44,12년8개월
동작구,상도4동,"1,008","3,105",3.08,13년5개월
동작구,사당1동,"1,790","9,815",5.48,9년9개월
동작구,사당3동,936,"4,032",4.31,12년3개월
동작구,사당4동,659,"1,953",2.96,11년10개월
동작구,사당5동,519,"1,646",3.17,12년10개월
동작구,대방동,"1,693","11,691",6.91,11년4개월
동작구,신대방1동,"1,035","4,210",4.07,10년10개월
동작구,신대방2동,"1,227","19,081",15.55,10년9개월
동작구,흑석동,"1,557","10,324",6.63,11년4개월
동작구,노량진1동,"1,856","8,214",4.43,10년5개월
