구,행정동,사업체수,종사자수,평균종사자,사업체밀도,종사자밀도,인구밀도,종사자밀도비
성북구,동선동,"2,037","9,961",4.89,"2,790","13,645","22,296",61.2
성북구,종암동,"2,034","8,629",4.24,"1,393","5,910","28,814",20.51
성북구,석관동,"2,163","9,984",4.62,"1,250","5,771","21,102",27.35
강북구,소계,"19,014","73,904",3.89,806,"3,132","13,462",23.26
강북구,번1동,"1,895","9,633",5.08,"2,871","14,595","29,718",49.11
강북구,번2동,640,"3,657",5.71,674,"3,849","18,002",21.38
강북구,번3동,869,"3,147",3.62,790,"2,861","16,592",17.24
강북구,수유1동,"1,473","5,349",3.63,882,"3,203","13,078",24.49
강북구,수유2동,"1,280","3,797",2.97,"2,246","6,661","38,489",17.31
강북구,수유3동,"2,542","9,146",3.6,"3,531","12,703","33,422",38.01
강북구,삼양동,"1,059","3,509",3.31,"1,164","3,856","28,063",13.74
강북구,미아동,"1,740","6,824",3.92,"1,871","7,338","24,531",29.91
강북구,송중동,"2,117","8,611",4.07,"2,096","8,526","30,845",27.64
강북구,송천동,"2,041","7,973",3.91,"2,268","8,859","31,809",27.85
강북구,삼각산동,782,"2,247",2.87,"1,261","3,624","53,065",6.83
강북구,우이동,"1,016","4,252",4.19,99,414,"2,081",19.88
강북구,인수동,"1,560","5,759",3.69,476,"1,756","9,897",17.74
도봉구,소계,"18,628","72,939",3.92,902,"3,530","16,245",21.73
도봉구,쌍문1동,913,"3,831",4.2,736,"3,090","18,035",17.13
도봉구,쌍문2동,"1,280","5,572",4.35,"2,370","10,319","37,083",27.83
도봉구,쌍문3동,966,"4,182",4.33,"1,932","8,364","34,524",24.23
도봉구,쌍문4동,611,"2,093",3.43,"1,175","4,025","38,098",10.56
도봉구,방학1동,"2,350","13,653",5.81,"3,406","19,787","43,559",45.43
도봉구,방학2동,"1,219","2,909",2.39,"1,647","3,931","28,568",13.76
도봉구,방학3동,898,"3,169",3.53,340,"1,200","10,902",11.01
도봉구,창1동,"1,538","3,958",2.57,"1,748","4,498","29,853",15.07
도봉구,창2동,"1,410","4,428",3.14,"1,318","4,138","28,503",14.52
도봉구,창3동,915,"2,170",2.37,"1,366","3,239","22,055",14.68
도봉구,창4동,"1,319","7,530",5.71,"1,374","7,844","29,034",27.02
도봉구,창5동,"2,157","7,359",3.41,"3,081","10,513","36,860",28.52
도봉구,도봉1동,"1,626","5,766",3.55,186,661,"2,557",25.86
도봉구,도봉2동,"1,426","6,319",4.43,"1,718","7,613","34,551",22.04
노원구,소계,"26,618","116,684",4.38,751,"3,292","15,161",21.72
노원구,월계1동,"1,466","6,721",4.58,"1,264","5,794","20,589",28.14
노원구,월계2동,930,"3,255",3.5,479,"1,678","14,066",11.93
노원구,월계3동,996,"4,143",4.16,851,"3,541","27,003",13.11
노원구,공릉2동,"1,955","11,629",5.95,287,"1,705","6,022",28.31
노원구,하계1동,"1,088","7,931",7.29,702,"5,117","18,906",27.06
노원구,하계2동,414,"1,220",2.95,812,"2,392","45,722",5.23
노원구,중계본동,"1,205","5,602",4.65,612,"2,844","13,135",21.65
노원구,중계1동,"1,050","4,205",4,"1,667","6,675","44,541",14.99
노원구,중계4동,"1,059","3,923",3.7,623,"2,308","12,544",18.4
노원구,상계1동,"3,183","9,518",2.99,566,"1,694","7,139",23.72
노원구,상계2동,"2,668","10,536",3.95,"4,374","17,272","34,787",49.65
노원구,상계5동,"1,567","4,936",3.15,"3,561","11,218","57,916",19.37
노원구,상계8동,484,"1,697",3.51,722,"2,533","35,751",7.08
노원구,상계9동,698,"2,520",3.61,862,"3,111","27,060",11.5
노원구,상계10동,515,"2,188",4.25,644,"2,735","20,774",13.17
노원구,상계3.4동,"1,196","3,787",3.17,213,674,"4,594",14.67
노원구,상계6.7동,"1,921","15,772",8.21,"1,731","14,209","31,214",45.52
노원구,중계2.3동,"1,382","5,153",3.73,"1,536","5,726","40,848",14.02
노원구,공릉1동,"2,841","11,948",4.21,"2,015","8,474","27,688",30.6
은평구,소계,"24,681","93,631",3.79,831,"3,151","16,309",19.32
은평구,녹번동,"1,962","9,531",4.86,"1,096","5,325","21,459",24.81
은평구,불광1동,"1,627","7,034",4.32,520,"2,247","13,073",17.19
은평구,갈현1동,"1,498","4,881",3.26,"1,544","5,032","25,295",19.89
은평구,갈현2동,"1,579","5,985",3.79,"1,645","6,234","31,406",19.85
은평구,구산동,"1,216","5,509",4.53,881,"3,992","24,496",16.3
은평구,대조동,"2,430","7,864",3.24,"2,859","9,252","32,835",28.18
은평구,응암1동,"1,661","7,831",4.71,"1,384","6,526","21,378",30.53
은평구,응암2동,707,"2,102",2.97,906,"2,695","32,649",8.25
은평구,신사1동,"1,347","4,066",3.02,"1,604","4,840","34,012",14.23
은평구,신사2동,"1,704","3,716",2.18,"1,704","3,716","21,875",16.99
은평구,증산동,945,"3,619",3.83,"1,167","4,468","19,965",22.38
은평구,수색동,514,"2,264",4.4,398,"1,755","6,940",25.29
은평구,진관동,"1,894","12,366",6.53,164,"1,073","5,031",21.32
은평구,불광2동,"1,295","3,943",3.04,938,"2,857","21,414",13.34
은평구,응암3동,"1,768","5,142",2.91,"2,806","8,162","41,398",19.72
은평구,역촌동,"2,534","7,778",3.07,"2,184","6,705","41,802",16.04
서대문구,소계,"20,095","113,819",5.66,"1,140","6,456","18,331",35.22
