구,행정동,사업체수,사업체수,종사자수,종사자수,종사자수,A. 농업 임업 및 어업,A. 농업 임업 및 어업,B. 광업,B. 광업,C. 제조업,C. 제조업,D. 전기 가스 증기 및 공기조절 공급업,D. 전기 가스 증기 및 공기조절 공급업,E. 수도 하수 및 폐기물 처리 원료 재생업,E. 수도 하수 및 폐기물 처리 원료 재생업,F. 건설업,F. 건설업,G. 도매 및 소매업,G. 도매 및 소매업,H. 운수 및 창고업,H. 운수 및 창고업,I. 숙박 및 음식점업,I. 숙박 및 음식점업,J. 정보통신업,J. 정보통신업,K. 금융 및 보험업,K. 금융 및 보험업,L. 부동산업,L. 부동산업,M. 전문 과학 및 기술 서비스업,M. 전문 과학 및 기술 서비스업,N. 사업시설 관리 사업 지원 및 임대 서비스업,N. 사업시설 관리 사업 지원 및 임대 서비스업,O. 공공행정 국방 및 사회보장 행정,O. 공공행정 국방 및 사회보장 행정,P. 교육 서비스업,P. 교육 서비스업,Q. 보건업 및 사회복지 서비스업,Q. 보건업 및 사회복지 서비스업,R. 예술 스포츠 및 여가관련 서비스업,R. 예술 스포츠 및 여가관련 서비스업,S. 협회 및 단체 수리 및 기타 개인 서비스업,S. 협회 및 단체 수리 및 기타 개인 서비스업
구,행정동,사업체수,여성대표자,계,남,여,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
마포구,대흥동,"1,571",570,"10,097","4,963","5,134",-,-,-,-,56,173,-,-,-,-,21,81,265,"1,046",70,141,383,"1,125",46,374,37,626,144,330,70,483,42,975,2,27,133,"2,992",94,652,47,457,161,615
마포구,염리동,726,282,"4,383","2,288","2,095",-,-,-,-,24,93,-,-,1,2,14,54,129,557,52,508,183,605,26,524,10,131,52,135,26,120,22,633,2,33,60,605,24,174,17,41,84,168
마포구,신수동,"1,209",393,"5,549","2,873","2,676",-,-,-,-,53,236,-,-,2,3,46,399,276,942,133,505,175,484,83,279,7,87,92,182,89,361,32,296,3,378,63,541,36,571,22,73,97,212
마포구,서교동,"9,552","3,210","57,173","27,784","29,389",-,-,-,-,188,"1,076",3,12,3,74,171,"2,347","2,095","10,201",275,"1,727","2,658","10,133",716,"6,464",135,"2,716",474,"1,226",816,"5,220",282,"7,834",7,179,400,"2,521",226,"1,759",380,"1,417",723,"2,267"
마포구,합정동,"2,397",848,"11,154","5,723","5,431",-,-,-,-,74,265,-,-,3,48,110,"1,192",479,"1,697",151,582,557,"1,842",212,863,31,850,113,228,228,"1,339",55,644,1,21,84,410,57,586,59,136,183,451
마포구,망원1동,"1,899",613,"5,293","2,840","2,453",-,-,-,-,82,250,-,-,1,2,37,322,360,999,460,594,429,"1,162",37,194,11,87,81,132,61,221,18,120,3,94,47,132,73,575,58,176,141,233
마포구,망원2동,"1,348",540,"4,505","2,412","2,093",-,-,-,-,68,187,-,-,1,4,73,405,262,808,188,514,243,632,40,231,7,25,73,157,49,157,23,179,2,21,85,381,43,296,41,133,150,375
마포구,연남동,"1,915",735,"6,911","3,739","3,172",-,-,-,-,49,186,-,-,-,-,47,485,332,"1,132",94,197,784,"2,091",97,550,3,20,74,127,127,608,41,568,2,61,60,379,28,188,37,73,140,246
마포구,성산1동,"1,534",473,"11,155","7,827","3,328",-,-,-,-,53,239,-,-,3,90,93,"2,865",331,"1,327",160,435,225,691,118,659,10,51,63,92,135,"1,117",45,"2,085",2,23,72,639,40,317,43,159,141,366
마포구,성산2동,"1,757",649,"11,682","5,743","5,939",-,-,-,-,32,98,-,-,3,14,59,570,469,"1,415",301,537,259,683,25,96,6,40,100,230,45,224,19,"3,383",5,"1,387",126,843,83,993,36,481,189,688
마포구,상암동,"2,531",874,"41,880","24,473","17,407",-,-,-,-,37,452,2,96,4,87,46,421,350,"4,490",215,"1,841",696,"2,694",370,"20,993",27,733,135,787,134,"3,092",52,"1,290",7,733,141,"1,367",106,"1,062",70,656,139,"1,086"
마포구,도화동,"2,082",697,"16,774","9,047","7,727",-,-,-,-,41,364,1,1,1,4,58,701,443,"1,871",172,"1,045",401,"1,796",109,"1,578",61,836,113,613,149,"1,645",81,"3,988",3,190,107,527,101,882,57,150,184,583
마포구,서강동,"1,828",653,"12,774","6,858","5,916",-,-,-,-,44,150,3,287,2,4,39,751,341,"1,537",104,342,537,"1,715",82,664,12,226,120,228,112,600,32,"2,974",2,71,130,"2,045",47,566,52,202,169,412
마포구,공덕동,"2,756",981,"18,197","9,899","8,298",-,-,-,-,288,"1,029",-,-,3,12,66,"1,795",547,"1,921",231,421,471,"1,442",83,"1,536",55,"1,692",163,532,206,"1,477",86,"2,855",7,843,115,520,113,"1,173",57,161,265,788
마포구,아현동,"1,619",598,"10,936","5,871","5,065",-,-,-,-,72,216,-,-,1,2,27,296,403,"1,055",108,342,235,830,69,782,38,"1,289",115,327,105,"2,323",81,"1,128",4,542,89,514,94,628,30,114,148,548
양천구,소계,"25,894","9,745","121,582","63,099","58,483",-,-,-,-,"1,075","4,524",2,268,21,469,809,"8,832","5,087","17,160","5,017","12,291","3,618","12,352",261,"4,869",205,"2,252","1,334","3,730",705,"3,207",330,"4,751",49,"6,768","2,385","15,334","1,224","15,435",981,"3,313","2,791","6,027"
양천구,목1동,"2,872","1,196","21,666","10,760","10,906",-,-,-,-,37,106,-,-,3,18,51,841,890,"4,083",95,255,555,"3,178",112,"3,896",66,897,127,497,114,702,61,"1,374",4,430,277,"2,442",139,"1,424",107,490,234,"1,033"
양천구,목2동,"1,196",476,"4,523","2,369","2,154",-,-,-,-,23,75,-,-,-,-,57,506,248,958,186,242,182,577,21,125,6,71,83,242,31,86,15,125,1,24,82,344,57,507,53,200,151,441
양천구,목3동,"1,282",566,"4,740","2,198","2,542",-,-,-,-,39,123,-,-,1,11,43,292,292,977,163,195,210,623,12,35,8,89,66,163,33,191,22,615,2,73,66,271,91,582,60,153,174,347
양천구,목4동,"1,347",597,"3,945","1,819","2,126",-,-,-,-,58,139,-,-,3,66,41,175,285,765,160,192,252,660,5,29,5,54,61,103,13,30,7,46,1,19,117,645,74,506,57,156,208,360
양천구,신월1동,"1,765",674,"5,183","2,828","2,355",-,-,-,-,196,811,-,-,1,35,72,465,438,"1,145",327,634,266,572,2,6,4,35,58,103,14,30,14,66,2,65,42,198,66,607,60,111,203,300
양천구,신월2동,"1,175",379,"3,943","2,104","1,839",-,-,-,-,95,401,-,-,2,13,60,451,217,636,347,536,100,270,5,22,3,24,66,130,12,38,16,95,1,24,62,496,56,558,25,59,108,190
양천구,신월3동,958,297,"4,019","2,356","1,663",-,-,-,-,72,466,-,-,-,-,42,234,229,646,274,901,106,263,3,8,10,37,17,28,7,89,8,15,2,76,29,600,42,411,26,93,91,152
양천구,신월4동,"1,166",388,"4,255","2,441","1,814",-,-,-,-,45,221,-,-,1,7,39,345,178,502,354,"1,038",173,441,2,12,7,50,54,139,10,32,16,104,1,19,67,323,53,738,31,66,135,218
양천구,신월5동,994,353,"4,849","2,881","1,968",-,-,-,-,93,412,-,-,-,-,49,478,201,639,192,352,150,382,1,1,1,8,29,37,12,90,16,725,4,632,47,387,34,406,42,86,123,214
양천구,신월6동,"1,336",178,"3,129","2,218",911,-,-,-,-,21,86,-,-,2,40,18,162,100,337,959,"1,474",56,174,2,26,3,33,45,81,5,26,7,47,1,19,13,228,32,232,23,49,49,115
양천구,신월7동,"1,324",453,"5,406","3,493","1,913",-,-,-,-,104,411,-,-,2,25,45,254,231,630,381,"1,258",156,338,4,5,2,23,50,105,13,43,12,32,4,996,52,293,55,592,50,175,163,226
양천구,신정1동,"1,175",569,"5,322","2,467","2,855",-,-,-,-,40,118,-,-,-,-,35,206,202,736,51,54,235,712,10,31,7,58,78,274,69,263,16,119,4,973,147,679,68,611,57,162,156,326
양천구,신정2동,"1,091",473,"3,806","1,703","2,103",-,-,-,-,31,85,-,-,-,-,35,137,204,591,100,119,158,554,3,6,4,50,72,218,35,122,12,26,1,20,181,"1,100",49,373,63,137,143,268
양천구,신정3동,"1,814",560,"9,284","5,308","3,976",-,-,-,-,40,339,-,-,-,-,34,815,208,790,742,"2,569",154,496,15,153,7,106,105,338,24,114,19,194,4,123,138,"1,222",105,"1,468",62,205,157,352
양천구,신정6동,714,325,"6,916","3,189","3,727",-,-,-,-,8,77,1,85,1,160,18,178,100,291,52,54,68,309,2,2,9,118,65,247,40,140,3,96,7,"3,026",218,"1,235",26,410,27,332,69,156
양천구,신정7동,"1,030",396,"4,457","2,348","2,109",-,-,-,-,23,66,-,-,1,2,17,75,154,519,233,"1,037",134,415,4,7,6,54,56,171,14,55,9,64,5,81,135,"1,007",64,418,52,205,123,281
양천구,목5동,"1,565",727,"10,700","4,262","6,438",-,-,-,-,17,43,1,183,2,66,38,502,242,795,51,57,181,822,19,351,15,225,131,492,25,242,13,198,3,90,551,"2,806",68,"3,187",55,289,153,352
양천구,신정4동,"3,090","1,138","15,439","8,355","7,084",-,-,-,-,133,545,-,-,2,26,115,"2,716",668,"2,120",350,"1,324",482,"1,566",39,154,42,320,171,362,234,914,64,810,2,78,161,"1,058",145,"2,405",131,345,351,696
강서구,소계,"39,458","13,619","257,494","142,209","115,285",1,29,1,1,"1,275","7,317",10,515,45,696,"1,258","15,605","9,209","37,437","7,280","50,974","6,106","22,192",906,"11,620",362,"4,682","2,154","8,781","1,393","25,339",765,"17,798",58,"3,971","1,870","14,191","1,646","22,593","1,266","4,083","3,853","9,670"
강서구,염창동,"2,170",744,"17,152","10,246","6,906",-,-,-,-,95,629,1,361,4,21,107,"2,335",472,"2,522",298,"1,443",264,"1,085",85,"1,947",23,223,173,541,66,"1,007",33,"1,635",2,65,169,995,89,"1,429",84,255,205,659
강서구,등촌1동,"1,812",630,"15,763","9,156","6,607",-,-,1,1,68,651,-,-,1,5,67,"1,287",454,"2,068",212,"2,755",310,"1,173",69,890,14,212,124,353,83,"2,369",36,840,4,421,57,395,75,"1,073",54,193,183,"1,077"
강서구,등촌2동,737,255,"3,541","1,770","1,771",-,-,-,-,33,193,-,-,-,-,23,129,141,811,156,313,107,296,9,62,3,35,42,101,12,40,11,82,4,128,50,652,30,327,23,94,93,278
강서구,등촌3동,"2,533",957,"19,252","8,839","10,413",-,-,-,-,50,335,-,-,1,15,70,811,774,"3,255",345,864,347,"1,683",51,701,27,554,138,555,81,453,61,"4,125",2,106,165,"1,625",129,"3,102",79,320,213,748
강서구,화곡본동,"1,389",539,"4,179","1,763","2,416",-,-,-,-,41,127,1,1,1,2,28,159,273,723,295,302,263,658,6,23,6,67,68,137,18,54,15,77,3,126,79,429,87,956,44,93,161,245
강서구,화곡2동,855,301,"2,732","1,405","1,327",-,-,-,-,33,123,-,-,-,-,22,116,292,"1,046",185,196,70,167,3,8,2,4,30,47,3,4,6,60,1,21,55,272,31,453,23,56,99,159
강서구,화곡3동,"1,222",521,"4,170","1,790","2,380",-,-,-,-,37,120,-,-,-,-,38,268,207,602,176,188,253,836,3,10,9,88,64,186,29,85,16,62,2,48,95,339,65,726,65,206,163,406
강서구,화곡4동,"1,469",560,"3,988","1,955","2,033",-,-,-,-,73,227,-,-,2,18,45,198,403,"1,038",225,315,256,627,9,16,5,49,55,91,22,51,10,28,2,75,56,427,53,424,66,113,187,291
강서구,화곡6동,"1,749",657,"10,847","6,098","4,749",-,-,-,-,52,279,-,-,3,22,57,884,297,"1,127",211,971,457,"1,513",23,106,26,439,100,281,88,463,29,904,4,"1,207",59,993,70,957,95,309,178,392
강서구,화곡8동,"1,275",527,"4,167","1,733","2,434",-,-,-,-,35,85,-,-,1,1,20,63,315,858,224,274,221,605,9,126,6,54,80,143,14,77,14,174,1,26,43,154,71,"1,151",39,101,182,275
강서구,가양1동,"5,790","1,774","56,353","36,977","19,376",-,-,-,-,166,"1,663",4,38,7,324,214,"2,758","1,378","7,804",482,"3,988","1,051","4,461",386,"5,511",132,"1,686",392,"3,666",537,"18,126",217,"2,317",1,24,135,868,136,"1,253",145,726,407,"1,140"
강서구,가양2동,633,207,"3,383","1,737","1,646",-,-,-,-,12,111,1,3,-,-,9,62,147,511,111,133,68,220,12,33,9,60,42,187,23,92,17,407,2,63,16,249,63,880,19,93,82,279
강서구,가양3동,904,190,"7,374","4,533","2,841",-,-,-,-,59,669,-,-,1,3,28,912,222,"1,735",253,796,47,186,49,508,1,1,41,160,56,627,18,278,3,519,37,383,29,384,6,45,54,168
강서구,발산1동,"3,375","1,062","19,865","10,650","9,215",-,-,-,-,93,368,-,-,8,99,91,"1,382","1,172","5,020",449,"2,036",346,"1,521",106,834,39,582,175,513,152,698,79,634,4,193,221,"2,016",148,"3,047",61,276,231,646
강서구,공항동,"2,040",696,"36,149","17,930","18,219",1,29,-,-,64,415,-,-,3,30,80,677,482,"1,424",462,"27,048",340,"1,367",18,102,11,116,83,260,33,131,44,"1,829",9,514,70,629,70,919,67,210,203,449
강서구,방화1동,"2,621",975,"11,003","5,229","5,774",-,-,-,-,75,305,-,-,1,4,72,465,528,"1,489",542,"1,436",365,"1,079",14,116,12,177,148,472,63,237,46,"1,191",1,33,189,"1,311",146,"1,737",101,298,318,653
강서구,방화2동,"3,279",868,"14,018","8,510","5,508",-,-,-,-,62,236,-,-,5,91,85,994,673,"2,300","1,590","5,760",330,"1,576",13,163,8,60,82,204,21,173,27,706,6,194,46,284,60,746,62,147,209,384
강서구,방화3동,893,263,"4,698","2,571","2,127",-,-,-,-,14,50,1,5,5,58,23,128,136,408,322,"1,170",97,316,14,47,7,79,51,254,22,371,13,521,3,94,42,540,36,369,13,56,94,232
강서구,화곡1동,"3,048","1,182","10,879","5,847","5,032",-,-,-,-,178,581,1,1,1,1,124,"1,241",566,"1,617",465,652,695,"2,114",18,379,11,83,150,336,41,120,42,977,3,86,79,511,139,"1,257",153,280,382,643
강서구,우장산동,"1,664",711,"7,981","3,470","4,511",-,-,-,-,35,150,1,106,1,2,55,736,277,"1,079",277,334,219,709,9,38,11,113,116,294,29,161,31,951,1,28,207,"1,119",119,"1,403",67,212,209,546
구로구,소계,"38,756","11,511","225,668","128,722","96,946",1,20,1,1,"3,609","18,469",9,129,23,446,"1,061","13,365","11,694","39,383","4,907","9,242","4,726","15,112","2,165","30,396",523,"8,459","1,541","4,573","1,642","15,569",744,"28,314",45,"3,932","1,275","11,778","1,152","15,997",972,"2,943","2,666","7,540"
구로구,신도림동,"2,784",908,"15,121","7,402","7,719",-,-,-,-,693,"2,132",-,-,2,13,54,636,677,"2,820",188,313,311,"1,876",62,372,57,"1,090",114,450,84,742,44,"1,861",4,55,157,"1,289",107,765,62,246,168,461
구로구,구로1동,728,273,"3,603","1,872","1,731",-,-,-,-,36,183,-,-,1,2,19,564,108,325,185,383,82,245,11,21,2,19,49,194,11,32,14,592,2,31,58,439,43,267,29,101,78,205
구로구,구로3동,"7,883","1,808","92,379","56,470","35,909",1,20,1,1,790,"8,998",7,34,6,150,176,"4,380","1,700","10,187",179,926,816,"3,710","1,746","27,987",193,"2,680",417,"1,379",925,"11,107",253,"14,570",5,328,191,"2,648",102,"1,130",131,556,244,"1,588"
구로구,구로4동,"2,133",992,"6,044","2,684","3,360",-,-,-,-,66,153,-,-,3,125,35,185,603,"1,358",170,271,453,"1,019",33,110,40,168,89,234,76,270,77,222,3,88,63,345,104,986,94,169,224,341
구로구,구로5동,"4,477","1,129","26,529","14,901","11,628",-,-,-,-,124,508,-,-,1,2,140,"2,975","1,097","3,323","1,361","2,364",523,"1,585",144,924,99,"3,621",169,505,169,"1,869",89,"4,422",4,117,99,687,106,"2,252",111,367,241,"1,008"
구로구,고척1동,"2,541",725,"10,116","5,766","4,350",-,-,-,-,571,"1,430",2,95,2,7,147,888,726,"1,844",257,440,295,985,14,35,10,176,67,217,28,118,22,554,3,203,71,970,75,"1,380",88,442,163,332
구로구,고척2동,"1,460",557,"4,177","2,012","2,165",-,-,-,-,93,295,-,-,-,-,50,294,344,787,289,340,199,490,5,8,5,39,63,156,7,29,15,49,3,96,86,543,71,624,44,146,186,281
구로구,개봉2동,"1,212",453,"3,361","1,504","1,857",-,-,-,-,33,92,-,-,2,44,38,258,185,472,309,313,166,481,9,21,8,67,68,158,8,13,6,29,1,42,89,291,79,709,40,98,171,273
구로구,개봉3동,"1,020",387,"7,391","4,105","3,286",-,-,-,-,54,203,-,-,-,-,36,251,186,673,230,261,155,325,2,24,5,36,49,92,12,33,11,"4,336",2,29,63,469,41,350,28,74,146,235
구로구,오류1동,"1,187",463,"4,795","2,314","2,481",-,-,-,-,23,124,-,-,-,-,35,453,271,693,187,247,219,642,15,73,12,93,64,241,30,107,28,701,2,59,48,249,73,744,50,100,130,269
구로구,오류2동,"1,729",596,"9,157","5,208","3,949",-,-,-,-,54,298,-,-,1,12,36,343,296,"1,084",506,"1,411",212,632,11,385,11,55,98,285,30,116,25,226,4,927,144,"1,705",100,951,39,113,162,614
구로구,수궁동,"1,258",370,"6,199","3,773","2,426",-,-,-,-,152,"1,196",-,-,2,9,43,372,209,790,324,811,151,345,10,38,7,38,47,109,20,124,7,22,4,191,64,"1,184",49,568,43,89,126,313
구로구,가리봉동,993,451,"3,179","1,252","1,927",-,-,-,-,44,123,-,-,-,-,21,138,238,518,72,79,266,519,8,34,19,62,28,54,27,49,33,104,2,58,17,119,27,920,78,146,113,256
구로구,구로2동,"7,653","1,742","28,133","16,911","11,222",-,-,-,-,793,"2,446",-,-,2,47,172,"1,328","4,682","13,438",321,578,586,"1,506",90,345,49,256,148,360,192,828,97,521,4,"1,682",50,386,104,"3,359",83,174,280,879
구로구,개봉1동,"1,698",657,"5,484","2,548","2,936",-,-,-,-,83,288,-,-,1,35,59,300,372,"1,071",329,505,292,752,5,19,6,59,71,139,23,132,23,105,2,26,75,454,71,992,52,122,234,485
금천구,소계,"33,814","9,359","242,686","150,589","92,097",-,-,-,-,"5,401","40,538",11,89,28,286,"1,141","16,576","9,264","41,416","2,903","8,999","3,435","10,808","2,902","39,393",257,"2,437","1,218","3,401","2,482","31,136",738,"23,836",34,"2,379",732,"6,310",713,"7,989",599,"1,584","1,956","5,509"
금천구,가산동,"16,661","3,716","170,886","110,573","60,313",-,-,-,-,"2,922","28,075",6,10,6,49,466,"12,051","4,602","27,453",546,"3,638","1,217","4,866","2,753","38,636",170,"1,627",611,"1,975","2,072","27,911",496,"18,782",7,135,204,"2,190",113,"1,091",127,454,343,"1,943"
금천구,독산1동,"4,037","1,247","25,241","15,084","10,157",-,-,-,-,939,"7,517",2,76,4,81,105,"1,173",984,"4,562",415,"1,894",460,"1,538",85,567,25,324,182,557,151,"2,094",69,751,4,90,108,854,114,"1,715",94,269,296,"1,179"
금천구,독산2동,"1,154",438,"3,514","1,832","1,682",-,-,-,-,125,389,-,-,-,-,48,431,227,644,216,356,180,422,2,11,3,21,37,58,15,98,8,34,1,23,46,309,60,411,33,80,153,227
금천구,독산3동,"2,087",775,"6,500","3,162","3,338",-,-,-,-,306,"1,038",2,2,1,3,63,259,470,"1,141",262,406,338,726,9,25,21,146,82,168,83,335,22,284,5,169,43,510,65,751,74,146,241,391
금천구,독산4동,994,390,"3,130","1,542","1,588",-,-,-,-,136,527,-,-,3,64,36,132,178,479,145,155,211,604,4,21,4,44,31,50,7,22,13,40,2,85,28,140,37,413,48,141,111,213
금천구,시흥1동,"3,078","1,232","15,728","7,752","7,976",-,-,-,-,267,"1,185",-,-,5,38,101,717,737,"2,062",325,438,603,"1,668",17,70,15,166,126,283,56,377,47,"2,974",9,"1,732",120,632,162,"2,253",132,296,356,837
금천구,시흥2동,651,207,"2,009",815,"1,194",-,-,-,-,15,35,-,-,-,-,9,16,85,196,264,266,39,94,9,15,3,10,34,98,4,5,15,40,1,21,72,798,40,313,7,22,54,80
금천구,시흥3동,"3,167",578,"10,083","7,086","2,997",-,-,-,-,562,"1,360",1,1,8,41,258,"1,607","1,625","4,104",226,707,117,263,18,38,9,54,45,81,79,259,58,883,1,19,26,356,17,91,21,27,96,192
금천구,시흥4동,853,298,"2,034",890,"1,144",-,-,-,-,55,179,-,-,1,10,23,76,136,289,279,295,89,178,2,2,2,17,30,41,6,15,1,1,2,24,37,303,42,353,19,48,129,203
금천구,시흥5동,"1,132",478,"3,561","1,853","1,708",-,-,-,-,74,233,-,-,-,-,32,114,220,486,225,844,181,449,3,8,5,28,40,90,9,20,9,47,2,81,48,218,63,598,44,101,177,244
영등포구,소계,"42,370","12,971","373,478","217,650","155,828",-,-,2,4,"3,742","13,245",12,775,26,458,"1,324","21,509","10,905","52,966","4,167","10,822","6,954","27,259","1,632","30,169","1,327","58,819","2,039","10,064","2,457","35,724","1,073","59,601",69,"9,354","1,226","8,938","1,218","17,689","1,165","4,209","3,032","11,873"
영등포구,여의도동,"8,132","2,258","160,633","100,149","60,484",-,-,-,-,139,656,6,618,10,162,175,"8,278","1,600","13,448",195,"1,782","1,674","10,065",682,"15,955",754,"47,774",440,"4,229","1,026","22,939",307,"18,250",18,"5,196",205,"1,775",214,"3,860",144,"1,363",543,"4,283"
영등포구,당산1동,"3,107",966,"19,234","9,309","9,925",-,-,-,-,223,691,-,-,1,8,99,"1,039",994,"3,096",176,712,552,"1,353",68,305,83,"1,572",136,384,266,"1,573",67,"4,507",5,"2,031",53,257,68,884,89,205,227,617
영등포구,당산2동,"2,289",739,"22,947","13,638","9,309",-,-,-,-,78,429,-,-,3,47,93,999,476,"2,483",149,782,388,"1,407",123,"1,539",66,"2,370",160,654,165,"1,471",67,"7,770",5,120,142,"1,063",115,781,78,238,181,794
영등포구,양평1동,"3,068",579,"24,084","13,898","10,186",-,-,-,-,279,"1,323",-,-,1,2,65,"2,090",477,"4,190","1,239","2,100",306,948,93,"1,587",54,"1,174",112,509,149,"1,814",52,"6,531",4,316,48,336,34,457,28,108,127,599
영등포구,양평2동,"2,182",638,"19,921","12,161","7,760",-,-,-,-,166,"1,554",-,-,2,129,89,"1,124",492,"4,233",212,"1,159",340,"1,271",178,"2,588",55,729,121,425,179,"2,912",53,"1,830",2,21,75,607,47,549,41,192,130,598
영등포구,신길1동,"1,091",424,"5,280","2,521","2,759",-,-,-,-,48,155,-,-,-,-,41,174,274,694,108,122,214,584,12,49,5,45,60,952,26,110,28,502,2,55,44,220,46,"1,231",47,110,136,277
영등포구,신길3동,"1,369",337,"2,905","1,629","1,276",-,-,-,-,48,137,-,-,-,-,31,155,251,564,611,618,128,326,5,8,10,110,52,136,12,31,5,10,1,20,28,161,59,408,29,55,99,166
영등포구,신길4동,433,139,"1,461",639,822,-,-,-,-,16,192,1,1,-,-,20,52,81,318,101,112,67,143,3,68,5,51,22,34,2,10,6,14,1,17,25,108,22,237,7,17,54,87
영등포구,신길5동,526,191,"2,563","1,521","1,042",-,-,-,-,25,102,-,-,-,-,29,540,141,419,84,305,94,265,3,8,2,12,31,70,3,13,7,47,3,52,18,287,12,285,18,39,56,119
영등포구,신길6동,"1,228",488,"4,904","2,252","2,652",-,-,-,-,43,108,-,-,-,-,57,265,246,928,136,155,199,606,20,72,8,46,106,425,48,299,13,223,3,247,79,462,77,700,45,106,148,262
영등포구,신길7동,620,252,"2,932","1,396","1,536",-,-,-,-,16,43,1,38,-,-,13,125,146,463,67,91,116,338,16,77,7,38,53,137,15,195,13,125,2,317,38,330,30,396,19,28,68,191
영등포구,대림1동,"1,064",424,"4,517","1,803","2,714",-,-,2,4,80,255,-,-,-,-,46,232,307,720,95,101,180,486,7,9,10,56,51,99,21,40,10,19,1,19,27,188,59,"1,981",42,86,126,222
영등포구,대림2동,"1,378",658,"4,520","2,161","2,359",-,-,-,-,59,139,-,-,2,3,32,140,344,"1,149",81,90,343,867,8,20,51,144,62,221,39,88,42,310,2,74,21,259,36,568,101,200,155,248
영등포구,대림3동,"2,262",778,"10,193","5,772","4,421",-,-,-,-,189,878,-,-,-,-,128,964,580,"1,832",279,356,336,820,21,837,29,140,90,176,64,290,81,"1,273",3,38,70,493,67,"1,064",120,202,205,830
영등포구,영등포본동,"1,410",578,"5,361","2,610","2,751",-,-,-,-,40,92,1,1,1,30,33,197,507,"1,410",163,438,256,985,13,130,6,37,52,108,29,378,28,68,4,71,62,618,49,465,48,102,118,231
영등포구,영등포동,"5,883","1,969","34,391","17,950","16,441",-,-,-,-,486,"1,302",1,75,4,26,205,"2,120","2,427","8,614",105,477,"1,079","4,523",147,"2,996",87,"2,064",242,710,130,"1,084",163,"4,805",5,274,112,645,156,"2,573",182,796,352,"1,307"
영등포구,도림동,"1,021",352,"2,975","1,753","1,222",-,-,-,-,60,207,-,-,-,-,51,366,227,646,178,351,134,322,17,89,7,51,52,134,26,93,18,49,2,19,50,161,39,232,37,59,123,196
영등포구,문래동,"5,307","1,201","44,657","26,488","18,169",-,-,-,-,"1,747","4,982",2,42,2,51,117,"2,649","1,335","7,759",188,"1,071",548,"1,950",216,"3,832",88,"2,406",197,661,257,"2,384",113,"13,268",6,467,129,968,88,"1,018",90,303,184,846
동작구,소계,"19,793","7,769","106,159","52,297","53,862",-,-,-,-,596,"2,095",3,118,14,421,585,"5,972","4,285","14,001","2,231","3,644","4,153","13,252",227,"4,172",178,"3,284","1,297","5,656",459,"6,440",317,"6,883",43,"3,792","1,264","14,114","1,021","13,956",810,"3,024","2,310","5,335"
동작구,노량진2동,"1,706",606,"7,779","3,936","3,843",-,-,-,-,31,59,-,-,2,67,18,55,947,"2,541",64,207,289,765,15,290,23,359,52,91,24,99,20,484,3,"1,371",44,584,25,383,40,98,109,326
동작구,상도1동,"1,765",688,"8,821","4,400","4,421",-,-,-,-,46,172,-,-,-,-,51,476,295,"1,072",219,410,437,"1,372",29,252,6,65,109,277,40,313,26,53,3,71,125,"2,787",94,843,79,194,206,464
동작구,상도2동,"1,398",584,"5,299","2,522","2,777",-,-,-,-,58,141,1,36,1,49,45,373,292,741,127,144,247,761,13,41,10,91,123,256,42,155,24,106,3,239,94,635,97,"1,049",58,152,163,330
동작구,상도3동,"1,011",394,"3,477","1,517","1,960",-,-,-,-,42,125,-,-,-,-,40,270,206,646,203,234,157,469,4,10,6,49,51,122,9,36,5,97,3,56,34,167,69,882,39,88,143,226
동작구,상도4동,"1,008",358,"3,105","1,328","1,777",-,-,-,-,34,109,-,-,1,3,33,95,177,465,265,334,152,440,7,25,2,21,42,83,11,30,8,25,1,28,57,424,67,750,28,53,123,220
동작구,사당1동,"1,790",688,"9,815","5,238","4,577",-,-,-,-,57,124,1,81,-,-,62,766,318,"1,083",141,316,421,"1,345",24,329,54,"1,577",146,430,68,541,42,"1,019",2,74,80,386,97,991,77,187,200,566
동작구,사당3동,936,351,"4,032","2,014","2,018",-,-,-,-,22,55,-,-,1,17,39,246,167,438,141,205,137,403,17,50,7,30,73,385,12,33,18,551,1,23,87,824,41,318,29,192,144,262
동작구,사당4동,659,257,"1,953",929,"1,024",-,-,-,-,30,68,-,-,1,1,23,107,151,496,119,166,90,213,1,12,3,47,34,84,5,8,6,24,1,19,27,119,52,404,24,56,92,129
동작구,사당5동,519,171,"1,646",809,837,-,-,-,-,16,39,-,-,1,34,28,86,84,232,111,131,59,160,10,21,1,5,34,67,13,70,12,69,2,28,42,365,15,88,8,120,83,131
동작구,대방동,"1,693",649,"11,691","6,475","5,216",-,-,-,-,48,326,-,-,1,7,64,"1,615",325,"1,244",188,315,281,"1,025",20,411,16,206,117,438,58,"1,042",25,821,3,125,197,"1,887",101,"1,394",64,191,185,644
