자치구,행정동,범주1,범주2,범주3
도봉구,쌍문1동,강북,동북,동북2
도봉구,쌍문2동,강북,동북,동북2
도봉구,쌍문3동,강북,동북,동북2
도봉구,쌍문4동,강북,동북,동북2
도봉구,방학1동,강북,동북,동북2
도봉구,방학2동,강북,동북,동북2
도봉구,방학3동,강북,동북,동북2
도봉구,창1동,강북,동북,동북2
도봉구,창2동,강북,동북,동북2
도봉구,창3동,강북,동북,동북2
도봉구,창4동,강북,동북,동북2
도봉구,창5동,강북,동북,동북2
도봉구,도봉1동,강북,동북,동북2
도봉구,도봉2동,강북,동북,동북2
노원구,월계1동,강북,동북,동북2
노원구,월계2동,강북,동북,동북2
노원구,월계3동,강북,동북,동북2
노원구,공릉2동,강북,동북,동북2
노원구,하계1동,강북,동북,동북2
노원구,하계2동,강북,동북,동북2
노원구,중계본동,강북,동북,동북2
노원구,중계1동,강북,동북,동북2
노원구,중계4동,강북,동북,동북2
노원구,상계1동,강북,동북,동북2
노원구,상계2동,강북,동북,동북2
노원구,상계5동,강북,동북,동북2
노원구,상계8동,강북,동북,동북2
노원구,상계9동,강북,동북,동북2
노원구,상계10동,강북,동북,동북2
노원구,상계3.4동,강북,동북,동북2
노원구,상계6.7동,강북,동북,동북2
노원구,중계2.3동,강북,동북,동북2
노원구,공릉1동,강북,동북,동북2
은평구,녹번동,강북,서북,서북
은평구,불광1동,강북,서북,서북
은평구,갈현1동,강북,서북,서북
은평구,갈현2동,강북,서북,서북
은평구,구산동,강북,서북,서북
은평구,대조동,강북,서북,서북
은평구,응암1동,강북,서북,서북
은평구,응암2동,강북,서북,서북
은평구,신사1동,강북,서북,서북
은평구,신사2동,강북,서북,서북
은평구,증산동,강북,서북,서북
은평구,수색동,강북,서북,서북
은평구,진관동,강북,서북,서북
은평구,불광2동,강북,서북,서북
은평구,응암3동,강북,서북,서북
은평구,역촌동,강북,서북,서북
서대문구,천연동,강북,서북,서북
서대문구,홍제1동,강북,서북,서북
서대문구,홍제3동,강북,서북,서북
서대문구,홍제2동,강북,서북,서북
서대문구,홍은1동,강북,서북,서북
서대문구,홍은2동,강북,서북,서북
서대문구,남가좌1동,강북,서북,서북
서대문구,남가좌2동,강북,서북,서북
서대문구,북가좌1동,강북,서북,서북
서대문구,북가좌2동,강북,서북,서북
서대문구,충현동,강북,서북,서북
서대문구,북아현동,강북,서북,서북
서대문구,신촌동,강북,서북,서북
서대문구,연희동,강북,서북,서북
마포구,용강동,강북,서북,서북
마포구,대흥동,강북,서북,서북
마포구,염리동,강북,서북,서북
마포구,신수동,강북,서북,서북
마포구,서교동,강북,서북,서북
마포구,합정동,강북,서북,서북
마포구,망원1동,강북,서북,서북
마포구,망원2동,강북,서북,서북
마포구,연남동,강북,서북,서북
