구,행정동,한식 음식점업,용달 및 개별 화물 자동차 운송업,부동산 중개 및 대리업,의복소매업,생맥주 전문점 및 기타 주점업,두발미용업,슈퍼마켓 및 기타 음·식료품 위주 종합 소매업,김밥 및 기타 간이 음식점 및 간이음식 포장 판매업,커피 전문점 및 기타 비알콜 음료점업,가정용 세탁업,노래연습장 운영업,체인화 편의점,치킨전문점,자동차 전문 수리업,채소 과실 및 뿌리작물 소매업,육류소매업,중식음식점업,당구장 운영업,제과점업,컴퓨터 게임방 운영업
관악구,신림동,170,26,101,49,101,58,15,25,49,21,47,35,14,5,4,7,14,7,5,16
관악구,난향동,10,57,15,3,5,14,7,3,5,8,2,4,5,-,6,5,2,1,3,1
관악구,조원동,134,520,61,38,60,47,25,15,41,17,35,19,14,25,8,13,26,5,5,7
관악구,대학동,151,63,45,9,53,46,24,49,70,22,26,33,21,-,1,6,18,12,15,20
관악구,은천동,133,107,66,23,29,50,22,22,27,20,16,20,24,22,5,16,8,6,11,3
관악구,성현동,24,91,38,7,6,35,9,12,13,8,2,9,6,7,3,3,6,2,3,3
관악구,청룡동,132,70,104,76,55,72,19,34,49,32,22,38,19,5,10,11,18,9,10,10
관악구,난곡동,40,162,26,11,16,49,24,15,9,16,8,18,13,8,8,7,2,4,6,7
관악구,삼성동,59,137,36,31,18,30,21,14,6,20,5,8,7,7,21,10,4,2,2,1
관악구,미성동,76,153,42,50,27,56,23,24,24,20,10,18,14,14,7,14,5,4,9,2
서초구,소계,"2,345",569,"1,457","1,034",535,676,245,481,"1,169",293,271,393,199,195,48,119,211,135,252,56
서초구,서초1동,153,11,83,26,19,46,17,38,98,21,13,28,15,19,1,8,14,11,20,5
서초구,서초2동,184,25,151,27,28,45,14,40,101,16,14,30,15,4,-,4,23,9,13,2
서초구,서초3동,410,37,181,37,109,55,25,48,195,30,53,58,18,20,2,7,38,25,30,5
서초구,서초4동,154,5,114,50,57,47,10,37,80,17,12,29,15,1,5,9,12,9,17,2
서초구,잠원동,154,27,101,18,45,32,15,29,47,23,23,22,16,5,3,8,13,6,12,2
서초구,반포본동,24,4,32,66,12,22,11,17,24,6,1,7,7,4,6,7,4,1,4,-
서초구,반포1동,95,19,105,31,31,48,11,17,54,25,10,24,13,7,4,4,4,4,9,5
서초구,반포2동,4,5,31,8,-,16,5,10,7,5,-,6,1,-,4,5,1,-,4,-
서초구,반포3동,40,1,81,97,3,20,7,16,18,5,6,8,13,3,1,2,4,1,7,4
서초구,반포4동,134,13,30,457,22,32,20,50,83,13,6,27,3,4,5,4,16,3,32,4
서초구,방배본동,93,21,49,36,31,48,11,16,42,15,18,15,7,11,1,7,6,2,16,3
서초구,방배1동,101,32,60,25,21,47,11,21,44,13,20,15,11,3,-,13,14,7,9,7
서초구,방배2동,140,43,78,23,36,36,6,19,49,15,16,19,9,10,2,10,13,7,13,2
서초구,방배3동,32,40,43,14,5,26,13,12,26,15,-,14,4,8,1,5,3,2,5,-
서초구,방배4동,97,33,113,24,13,55,12,25,53,17,8,15,8,23,3,5,9,7,19,1
서초구,양재1동,205,109,76,34,50,56,24,32,125,30,27,35,19,26,5,10,21,19,23,6
서초구,양재2동,288,83,97,57,51,38,24,47,100,23,42,29,22,47,3,10,14,22,16,7
서초구,내곡동,37,61,32,4,2,7,9,7,23,4,2,12,3,-,2,1,2,-,3,1
강남구,소계,"3,784",615,"2,337","1,692",846,"1,241",340,667,"1,896",411,307,759,286,182,78,125,368,146,362,114
강남구,신사동,244,18,62,259,69,99,11,43,146,17,16,32,15,3,3,9,33,5,41,5
강남구,논현1동,311,33,149,89,102,110,18,43,122,37,37,68,16,8,12,17,22,13,16,8
강남구,논현2동,344,22,103,69,75,69,18,51,161,30,16,55,18,16,2,6,31,12,29,10
강남구,삼성1동,236,19,88,231,36,30,19,27,118,11,18,42,13,8,2,4,33,8,22,3
강남구,삼성2동,144,28,177,34,41,59,16,36,88,23,10,47,16,10,3,5,13,5,25,3
강남구,대치1동,40,-,88,15,2,30,11,22,26,9,5,15,11,2,1,7,4,2,11,4
강남구,대치4동,237,18,150,57,48,78,15,58,133,26,28,48,19,11,4,5,27,12,20,7
