기준_년_코드,기준_분기_코드,행정동_코드,행정동_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,보정영업지수1,보정영업지수2,보정영업지수3,보정영업지수4
2019,4,11500591,화곡6동,LL,다이나믹,98,46,110,54,0.429067813,0.046024797,0.00493694,0.00052957
2019,4,11500590,화곡본동,LL,다이나믹,110,52,110,54,-0.214533906,-0.023012398,-0.00246847,-0.000264785
2019,4,11500570,화곡4동,LL,다이나믹,105,49,110,54,0,0,0,0
2019,4,11500560,화곡3동,LL,다이나믹,93,50,110,54,1.394470391,0.14958059,0.016045054,0.001721104
2019,4,11500550,화곡2동,LL,다이나믹,108,49,110,54,-0.321800859,-0.034518598,-0.003702705,-0.000397178
2019,4,11500540,화곡1동,LL,다이나믹,104,49,110,54,0.107266953,0.011506199,0.001234235,0.000132393
2019,4,11500535,등촌3동,LL,다이나믹,93,49,110,54,1.287203438,0.138074391,0.014810819,0.001588711
2019,4,11500530,등촌2동,LL,다이나믹,107,48,110,54,-0.321800859,-0.034518598,-0.003702705,-0.000397178
2019,4,11500520,등촌1동,LL,다이나믹,95,53,110,54,1.501737344,0.161086789,0.017279289,0.001853497
2019,4,11500510,염창동,LH,상권확장,107,55,110,54,0.683609555,0.116830506,0.019966613,0.003412342
2019,4,11470680,신정7동,LL,다이나믹,99,51,110,54,0.858135625,0.092049594,0.009873879,0.001059141
2019,4,11470670,신정6동,LL,다이나믹,92,49,110,54,1.394470391,0.14958059,0.016045054,0.001721104
2019,4,11470650,신정4동,LL,다이나믹,105,48,110,54,-0.107266953,-0.011506199,-0.001234235,-0.000132393
2019,4,11470640,신정3동,LL,다이나믹,107,53,110,54,0.214533906,0.023012398,0.00246847,0.000264785
2019,4,11470630,신정2동,LL,다이나믹,103,50,110,54,0.321800859,0.034518598,0.003702705,0.000397178
2019,4,11470620,신정1동,HL,상권축소,113,50,110,54,-1.596201822,-0.363980037,-0.082997943,-0.018925924
2019,4,11470611,신월7동,LL,다이나믹,104,48,110,54,0,0,0,0
2019,4,11470610,신월6동,HH,정체,126,64,110,54,-0.60103266,-0.06020671,-0.006031033,-0.000604141
2019,4,11470600,신월5동,LL,다이나믹,106,53,110,54,0.321800859,0.034518598,0.003702705,0.000397178
2019,4,11470590,신월4동,LL,다이나믹,104,51,110,54,0.321800859,0.034518598,0.003702705,0.000397178
2019,4,11470580,신월3동,HL,상권축소,122,51,110,54,-3.420432476,-0.779957222,-0.177852734,-0.040555551
2019,4,11470570,신월2동,HL,상권축소,115,52,110,54,-1.596201822,-0.363980037,-0.082997943,-0.018925924
2019,4,11470560,신월1동,HL,상권축소,113,48,110,54,-2.052259486,-0.467974333,-0.10671164,-0.024333331
2019,4,11470550,목5동,LL,다이나믹,98,51,110,54,0.965402578,0.103555793,0.011108114,0.001191534
2019,4,11470540,목4동,LL,다이나믹,103,47,110,54,0,0,0,0
2019,4,11470530,목3동,LL,다이나믹,106,51,110,54,0.107266953,0.011506199,0.001234235,0.000132393
2019,4,11470520,목2동,LL,다이나믹,103,52,110,54,0.536334766,0.057530996,0.006171175,0.000661963
2019,4,11470510,목1동,LL,다이나믹,93,50,110,54,1.394470391,0.14958059,0.016045054,0.001721104
2019,4,11440740,상암동,LL,다이나믹,66,44,110,54,3.647076407,0.391210774,0.041963988,0.004501349
2019,4,11440730,성산2동,LH,상권확장,102,58,110,54,2.050828665,0.350491518,0.059899838,0.010237025
2019,4,11440720,성산1동,LL,다이나믹,98,52,110,54,1.072669532,0.115061992,0.012342349,0.001323926
2019,4,11440710,연남동,LL,다이나믹,63,47,110,54,4.290678126,0.46024797,0.049369397,0.005295705
2019,4,11440700,망원2동,LL,다이나믹,98,48,110,54,0.643601719,0.069037195,0.00740541,0.000794356
2019,4,11440690,망원1동,LL,다이나믹,86,50,110,54,2.145339063,0.230123985,0.024684699,0.002647852
2019,4,11440680,합정동,LL,다이나믹,87,49,110,54,1.930805157,0.207111586,0.022216229,0.002383067
2019,4,11440660,서교동,LL,다이나믹,83,47,110,54,2.145339063,0.230123985,0.024684699,0.002647852
2019,4,11440655,서강동,LL,다이나믹,85,47,110,54,1.930805157,0.207111586,0.022216229,0.002383067
2019,4,11440630,신수동,LH,상권확장,110,56,110,54,0.341804777,0.058415253,0.009983306,0.001706171
2019,4,11440610,염리동,LH,상권확장,107,56,110,54,0.854511944,0.146038132,0.024958266,0.004265427
2019,4,11440600,대흥동,HH,정체,115,55,110,54,-0.40068844,-0.040137806,-0.004020689,-0.000402761
2019,4,11440590,용강동,LL,다이나믹,109,53,110,54,0,0,0,0
2019,4,11440585,도화동,LH,상권확장,107,54,110,54,0.512707166,0.087622879,0.014974959,0.002559256
2019,4,11440565,공덕동,HH,정체,119,58,110,54,-0.50086055,-0.050172258,-0.005025861,-0.000503451
2019,4,11440555,아현동,HH,정체,111,54,110,54,-0.10017211,-0.010034452,-0.001005172,-0.00010069
2019,4,11410720,북가좌2동,LL,다이나믹,109,53,110,54,0,0,0,0
2019,4,11410710,북가좌1동,LL,다이나믹,94,49,110,54,1.179936485,0.126568192,0.013576584,0.001456319
2019,4,11410700,남가좌2동,LH,상권확장,105,54,110,54,0.854511944,0.146038132,0.024958266,0.004265427
2019,4,11410690,남가좌1동,HH,정체,125,63,110,54,-0.60103266,-0.06020671,-0.006031033,-0.000604141
2019,4,11410685,홍은2동,LH,상권확장,110,57,110,54,0.512707166,0.087622879,0.014974959,0.002559256
2019,4,11410660,홍은1동,HH,정체,121,59,110,54,-0.60103266,-0.06020671,-0.006031033,-0.000604141
2019,4,11410655,홍제2동,HH,정체,118,59,110,54,-0.30051633,-0.030103355,-0.003015517,-0.000302071
2019,4,11410640,홍제3동,HH,정체,121,62,110,54,-0.30051633,-0.030103355,-0.003015517,-0.000302071
2019,4,11410620,홍제1동,HH,정체,118,56,110,54,-0.60103266,-0.06020671,-0.006031033,-0.000604141
2019,4,11410615,연희동,LH,상권확장,108,55,110,54,0.512707166,0.087622879,0.014974959,0.002559256
2019,4,11410585,신촌동,HL,상권축소,111,51,110,54,-0.912115327,-0.207988592,-0.047427396,-0.010814814
2019,4,11410565,충현동,HH,정체,123,60,110,54,-0.70120477,-0.070241161,-0.007036205,-0.000704832
2019,4,11410555,북아현동,HH,정체,131,63,110,54,-1.20206532,-0.120413419,-0.012062066,-0.001208283
2019,4,11410520,천연동,HH,정체,121,58,110,54,-0.70120477,-0.070241161,-0.007036205,-0.000704832
2019,4,11380690,진관동,LL,다이나믹,63,45,110,54,4.07614422,0.437235571,0.046900928,0.00503092
2019,4,11380650,수색동,HH,정체,155,69,110,54,-3.005163299,-0.301033549,-0.030155166,-0.003020707
2019,4,11380640,증산동,HH,정체,122,55,110,54,-1.10189321,-0.110378968,-0.011056894,-0.001107592
2019,4,11380632,신사2동,LL,다이나믹,108,53,110,54,0.107266953,0.011506199,0.001234235,0.000132393
2019,4,11380631,신사1동,LL,다이나믹,105,49,110,54,0,0,0,0
2019,4,11380625,역촌동,LL,다이나믹,100,50,110,54,0.643601719,0.069037195,0.00740541,0.000794356
2019,4,11380600,응암3동,HH,정체,115,54,110,54,-0.50086055,-0.050172258,-0.005025861,-0.000503451
2019,4,11380590,응암2동,LH,상권확장,86,57,110,54,4.614364496,0.788605915,0.134774635,0.023033307
2019,4,11380580,응암1동,HH,정체,112,54,110,54,-0.20034422,-0.020068903,-0.002010344,-0.00020138
2019,4,11380570,대조동,LL,다이나믹,106,52,110,54,0.214533906,0.023012398,0.00246847,0.000264785
2019,4,11380560,구산동,LL,다이나믹,99,53,110,54,1.072669532,0.115061992,0.012342349,0.001323926
2019,4,11380552,갈현2동,LL,다이나믹,94,50,110,54,1.287203438,0.138074391,0.014810819,0.001588711
2019,4,11380551,갈현1동,LL,다이나믹,102,50,110,54,0.429067813,0.046024797,0.00493694,0.00052957
2019,4,11380530,불광2동,LH,상권확장,109,55,110,54,0.341804777,0.058415253,0.009983306,0.001706171
2019,4,11380520,불광1동,LH,상권확장,107,54,110,54,0.512707166,0.087622879,0.014974959,0.002559256
2019,4,11380510,녹번동,LH,상권확장,108,55,110,54,0.512707166,0.087622879,0.014974959,0.002559256
2019,4,11350720,상계10동,LL,다이나믹,99,51,110,54,0.858135625,0.092049594,0.009873879,0.001059141
2019,4,11350710,상계9동,HL,상권축소,111,52,110,54,-0.684086495,-0.155991444,-0.035570547,-0.00811111
2019,4,11350700,상계8동,HH,정체,110,57,110,54,0.30051633,0.030103355,0.003015517,0.000302071
2019,4,11350695,상계6.7동,LL,다이나믹,105,49,110,54,0,0,0,0
2019,4,11350670,상계5동,LL,다이나믹,106,50,110,54,0,0,0,0
2019,4,11350665,상계3.4동,HH,정체,116,56,110,54,-0.40068844,-0.040137806,-0.004020689,-0.000402761
2019,4,11350640,상계2동,LL,다이나믹,94,47,110,54,0.965402578,0.103555793,0.011108114,0.001191534
2019,4,11350630,상계1동,LL,다이나믹,95,49,110,54,1.072669532,0.115061992,0.012342349,0.001323926
2019,4,11350625,중계2.3동,LL,다이나믹,104,52,110,54,0.429067813,0.046024797,0.00493694,0.00052957
2019,4,11350624,중계4동,LL,다이나믹,95,48,110,54,0.965402578,0.103555793,0.011108114,0.001191534
2019,4,11350621,중계1동,LL,다이나믹,96,50,110,54,1.072669532,0.115061992,0.012342349,0.001323926
2019,4,11350619,중계본동,LL,다이나믹,90,50,110,54,1.716271251,0.184099188,0.019747759,0.002118282
2019,4,11350612,하계2동,HH,정체,119,60,110,54,-0.30051633,-0.030103355,-0.003015517,-0.000302071
2019,4,11350611,하계1동,LH,상권확장,104,55,110,54,1.196316721,0.204453385,0.034941572,0.005971598
2019,4,11350600,공릉2동,LL,다이나믹,92,52,110,54,1.716271251,0.184099188,0.019747759,0.002118282
2019,4,11350595,공릉1동,LL,다이나믹,107,53,110,54,0.214533906,0.023012398,0.00246847,0.000264785
2019,4,11350580,월계3동,LL,다이나믹,105,50,110,54,0.107266953,0.011506199,0.001234235,0.000132393
2019,4,11350570,월계2동,LH,상권확장,100,55,110,54,1.879926276,0.321283891,0.054908184,0.00938394
2019,4,11350560,월계1동,LH,상권확장,103,54,110,54,1.196316721,0.204453385,0.034941572,0.005971598
2019,4,11320710,방학3동,LH,상권확장,103,55,110,54,1.36721911,0.233661012,0.039933225,0.006824684
2019,4,11320700,방학2동,LL,다이나믹,101,50,110,54,0.536334766,0.057530996,0.006171175,0.000661963
2019,4,11320690,방학1동,LL,다이나믹,101,48,110,54,0.321800859,0.034518598,0.003702705,0.000397178
2019,4,11320681,쌍문4동,LL,다이나믹,97,51,110,54,1.072669532,0.115061992,0.012342349,0.001323926
2019,4,11320680,쌍문3동,LL,다이나믹,102,52,110,54,0.643601719,0.069037195,0.00740541,0.000794356
2019,4,11320670,쌍문2동,LL,다이나믹,100,50,110,54,0.643601719,0.069037195,0.00740541,0.000794356
2019,4,11320660,쌍문1동,LL,다이나믹,105,52,110,54,0.321800859,0.034518598,0.003702705,0.000397178
2019,4,11320522,도봉2동,LL,다이나믹,104,50,110,54,0.214533906,0.023012398,0.00246847,0.000264785
2019,4,11320521,도봉1동,HL,상권축소,111,52,110,54,-0.684086495,-0.155991444,-0.035570547,-0.00811111
2019,4,11320515,창5동,LL,다이나믹,100,49,110,54,0.536334766,0.057530996,0.006171175,0.000661963
2019,4,11320514,창4동,HL,상권축소,111,52,110,54,-0.684086495,-0.155991444,-0.035570547,-0.00811111
2019,4,11320513,창3동,LL,다이나믹,107,53,110,54,0.214533906,0.023012398,0.00246847,0.000264785
2019,4,11320512,창2동,LL,다이나믹,100,51,110,54,0.750868672,0.080543395,0.008639645,0.000926748
2019,4,11320511,창1동,LL,다이나믹,98,50,110,54,0.858135625,0.092049594,0.009873879,0.001059141
2019,4,11305660,인수동,LL,다이나믹,100,51,110,54,0.750868672,0.080543395,0.008639645,0.000926748
2019,4,11305645,우이동,LL,다이나믹,103,53,110,54,0.643601719,0.069037195,0.00740541,0.000794356
2019,4,11305630,수유3동,LL,다이나믹,104,49,110,54,0.107266953,0.011506199,0.001234235,0.000132393
2019,4,11305620,수유2동,LL,다이나믹,104,52,110,54,0.429067813,0.046024797,0.00493694,0.00052957
2019,4,11305610,수유1동,HL,상권축소,116,53,110,54,-1.596201822,-0.363980037,-0.082997943,-0.018925924
2019,4,11305606,번3동,LL,다이나믹,108,49,110,54,-0.321800859,-0.034518598,-0.003702705,-0.000397178
2019,4,11305600,번2동,LL,다이나믹,110,53,110,54,-0.107266953,-0.011506199,-0.001234235,-0.000132393
