구,행정동,사업체수,종사자수,평균종사자,사업체_창업률
노원구,상계8동,484,"1,697",3.51,9.3
노원구,상계9동,698,"2,520",3.61,9.46
노원구,상계10동,515,"2,188",4.25,9.9
노원구,상계3.4동,"1,196","3,787",3.17,9.53
노원구,상계6.7동,"1,921","15,772",8.21,12.13
노원구,중계2.3동,"1,382","5,153",3.73,12.45
노원구,공릉1동,"2,841","11,948",4.21,13.16
은평구,소계,"24,681","93,631",3.79,12.99
은평구,녹번동,"1,962","9,531",4.86,13.56
은평구,불광1동,"1,627","7,034",4.32,12.29
은평구,갈현1동,"1,498","4,881",3.26,15.42
은평구,갈현2동,"1,579","5,985",3.79,15.58
은평구,구산동,"1,216","5,509",4.53,10.61
은평구,대조동,"2,430","7,864",3.24,14.32
은평구,응암1동,"1,661","7,831",4.71,12.1
은평구,응암2동,707,"2,102",2.97,15.13
은평구,신사1동,"1,347","4,066",3.02,11.58
은평구,신사2동,"1,704","3,716",2.18,5.22
은평구,증산동,945,"3,619",3.83,8.99
은평구,수색동,514,"2,264",4.4,9.92
은평구,진관동,"1,894","12,366",6.53,19.06
은평구,불광2동,"1,295","3,943",3.04,12.82
은평구,응암3동,"1,768","5,142",2.91,14.2
은평구,역촌동,"2,534","7,778",3.07,12.59
서대문구,소계,"20,095","113,819",5.66,14.09
서대문구,천연동,915,"3,069",3.35,10.27
서대문구,홍제1동,"1,154","4,827",4.18,11.79
서대문구,홍제3동,"1,157","3,687",3.19,10.89
서대문구,홍제2동,594,"1,699",2.86,11.45
서대문구,홍은1동,999,"2,658",2.66,13.51
서대문구,홍은2동,"1,219","5,414",4.44,14.44
서대문구,남가좌1동,691,"2,204",3.19,12.88
서대문구,남가좌2동,"1,310","5,271",4.02,14.43
서대문구,북가좌1동,681,"3,173",4.66,12.78
서대문구,북가좌2동,"2,443","6,752",2.76,9.09
서대문구,충현동,"1,817","24,246",13.34,10.84
서대문구,북아현동,862,"2,420",2.81,12.18
서대문구,신촌동,"3,901","37,647",9.65,21.99
서대문구,연희동,"2,352","10,752",4.57,14.88
마포구,소계,"37,290","247,276",6.63,17.14
마포구,용강동,"2,566","18,813",7.33,13.33
마포구,대흥동,"1,571","10,097",6.43,16.3
마포구,염리동,726,"4,383",6.04,13.77
마포구,신수동,"1,209","5,549",4.59,21.17
마포구,서교동,"9,552","57,173",5.99,18.77
마포구,합정동,"2,397","11,154",4.65,27.37
마포구,망원1동,"1,899","5,293",2.79,15.27
마포구,망원2동,"1,348","4,505",3.34,14.24
마포구,연남동,"1,915","6,911",3.61,24.02
마포구,성산1동,"1,534","11,155",7.27,13.04
마포구,성산2동,"1,757","11,682",6.65,10.93
마포구,상암동,"2,531","41,880",16.55,19.76
마포구,도화동,"2,082","16,774",8.06,14.22
마포구,서강동,"1,828","12,774",6.99,19.37
마포구,공덕동,"2,756","18,197",6.6,11.21
마포구,아현동,"1,619","10,936",6.75,11.98
양천구,소계,"25,894","121,582",4.7,12.52
양천구,목1동,"2,872","21,666",7.54,16.78
양천구,목2동,"1,196","4,523",3.78,13.04
양천구,목3동,"1,282","4,740",3.7,14.04
양천구,목4동,"1,347","3,945",2.93,14.7
양천구,신월1동,"1,765","5,183",2.94,12.58
양천구,신월2동,"1,175","3,943",3.36,8.6
양천구,신월3동,958,"4,019",4.2,8.98
양천구,신월4동,"1,166","4,255",3.65,9.61
양천구,신월5동,994,"4,849",4.88,14.79
양천구,신월6동,"1,336","3,129",2.34,3.37
양천구,신월7동,"1,324","5,406",4.08,8.99
양천구,신정1동,"1,175","5,322",4.53,13.45
양천구,신정2동,"1,091","3,806",3.49,15.67
양천구,신정3동,"1,814","9,284",5.12,9.43
양천구,신정6동,714,"6,916",9.69,13.45
양천구,신정7동,"1,030","4,457",4.33,13.01
양천구,목5동,"1,565","10,700",6.84,14.06
양천구,신정4동,"3,090","15,439",5,14.34
강서구,소계,"39,458","257,494",6.53,15.47
강서구,염창동,"2,170","17,152",7.9,10.23
강서구,등촌1동,"1,812","15,763",8.7,16.28
강서구,등촌2동,737,"3,541",4.8,10.99
강서구,등촌3동,"2,533","19,252",7.6,13.42
강서구,화곡본동,"1,389","4,179",3.01,12.6
강서구,화곡2동,855,"2,732",3.2,12.16
강서구,화곡3동,"1,222","4,170",3.41,15.3
강서구,화곡4동,"1,469","3,988",2.71,15.04
강서구,화곡6동,"1,749","10,847",6.2,16.75
강서구,화곡8동,"1,275","4,167",3.27,14.67
강서구,가양1동,"5,790","56,353",9.73,23.87
강서구,가양2동,633,"3,383",5.34,17.38
강서구,가양3동,904,"7,374",8.16,9.51
강서구,발산1동,"3,375","19,865",5.89,22.13
강서구,공항동,"2,040","36,149",17.72,13.53
강서구,방화1동,"2,621","11,003",4.2,12.13
강서구,방화2동,"3,279","14,018",4.28,10.4
강서구,방화3동,893,"4,698",5.26,9.18
강서구,화곡1동,"3,048","10,879",3.57,14.3
강서구,우장산동,"1,664","7,981",4.8,13.34
구로구,소계,"38,756","225,668",5.82,11.26
구로구,신도림동,"2,784","15,121",5.43,10.06
구로구,구로1동,728,"3,603",4.95,10.16
구로구,구로3동,"7,883","92,379",11.72,16.85
구로구,구로4동,"2,133","6,044",2.83,12.52
구로구,구로5동,"4,477","26,529",5.93,9.87
구로구,고척1동,"2,541","10,116",3.98,8.15
구로구,고척2동,"1,460","4,177",2.86,10.21
구로구,개봉2동,"1,212","3,361",2.77,10.81
구로구,개봉3동,"1,020","7,391",7.25,9.9
구로구,오류1동,"1,187","4,795",4.04,12.89
구로구,오류2동,"1,729","9,157",5.3,14.23
구로구,수궁동,"1,258","6,199",4.93,8.74
구로구,가리봉동,993,"3,179",3.2,14.3
구로구,구로2동,"7,653","28,133",3.68,6.81
구로구,개봉1동,"1,698","5,484",3.23,12.43
금천구,소계,"33,814","242,686",7.18,13.39
금천구,가산동,"16,661","170,886",10.26,16.21
금천구,독산1동,"4,037","25,241",6.25,12.09
금천구,독산2동,"1,154","3,514",3.05,11.7
금천구,독산3동,"2,087","6,500",3.11,10.78
금천구,독산4동,994,"3,130",3.15,12.58
금천구,시흥1동,"3,078","15,728",5.11,12.54
금천구,시흥2동,651,"2,009",3.09,14.75
금천구,시흥3동,"3,167","10,083",3.18,5.49
금천구,시흥4동,853,"2,034",2.38,9.5
금천구,시흥5동,"1,132","3,561",3.15,10.25
영등포구,소계,"42,370","373,478",8.81,12.66
영등포구,여의도동,"8,132","160,633",19.75,15.62
영등포구,당산1동,"3,107","19,234",6.19,13.97
영등포구,당산2동,"2,289","22,947",10.02,13.85
영등포구,양평1동,"3,068","24,084",7.85,8.28
영등포구,양평2동,"2,182","19,921",9.13,13.61
영등포구,신길1동,"1,091","5,280",4.84,9.81
영등포구,신길3동,"1,369","2,905",2.12,7.23
영등포구,신길4동,433,"1,461",3.37,8.78
영등포구,신길5동,526,"2,563",4.87,9.7
영등포구,신길6동,"1,228","4,904",3.99,13.6
영등포구,신길7동,620,"2,932",4.73,14.84
영등포구,대림1동,"1,064","4,517",4.25,12.88
영등포구,대림2동,"1,378","4,520",3.28,16.4
영등포구,대림3동,"2,262","10,193",4.51,11.58
영등포구,영등포본동,"1,410","5,361",3.8,13.55
영등포구,영등포동,"5,883","34,391",5.85,11.85
영등포구,도림동,"1,021","2,975",2.91,14.2
영등포구,문래동,"5,307","44,657",8.41,10.95
동작구,소계,"19,793","106,159",5.36,12.46
동작구,노량진2동,"1,706","7,779",4.56,6.74
동작구,상도1동,"1,765","8,821",5,13.48
동작구,상도2동,"1,398","5,299",3.79,14.66
동작구,상도3동,"1,011","3,477",3.44,11.97
동작구,상도4동,"1,008","3,105",3.08,10.81
동작구,사당1동,"1,790","9,815",5.48,12.63
동작구,사당3동,936,"4,032",4.31,12.61
동작구,사당4동,659,"1,953",2.96,10.17
동작구,사당5동,519,"1,646",3.17,11.95
동작구,대방동,"1,693","11,691",6.91,12.34
동작구,신대방1동,"1,035","4,210",4.07,12.37
동작구,신대방2동,"1,227","19,081",15.55,12.14
동작구,흑석동,"1,557","10,324",6.63,13.87
동작구,노량진1동,"1,856","8,214",4.43,13.69
동작구,사당2동,"1,633","6,712",4.11,15.31
관악구,소계,"25,505","115,329",4.52,15.15
관악구,보라매동,"1,367","6,557",4.8,17.85
관악구,청림동,451,"1,385",3.07,11.75
관악구,행운동,"1,372","6,845",4.99,15.45
관악구,낙성대동,"1,296","7,867",6.07,19.52
관악구,중앙동,965,"5,516",5.72,16.48
관악구,인헌동,"1,053","3,578",3.4,12.92
관악구,남현동,872,"4,957",5.68,17.43
관악구,서원동,"1,279","7,459",5.83,17.75
관악구,신원동,814,"2,356",2.89,17.32
관악구,서림동,"1,115","3,245",2.91,10.85
관악구,신사동,"1,359","4,356",3.21,15.38
관악구,신림동,"1,687","6,638",3.93,20.87
관악구,난향동,397,"1,886",4.75,12.34
관악구,조원동,"2,150","7,116",3.31,10.42
관악구,대학동,"1,636","15,017",9.18,15.83
관악구,은천동,"1,562","6,658",4.26,14.28
관악구,성현동,821,"2,951",3.59,13.4
관악구,청룡동,"1,855","10,350",5.58,16.77
관악구,난곡동,954,"2,452",2.57,13.42
관악구,삼성동,"1,010","2,618",2.59,10.5
관악구,미성동,"1,490","5,522",3.71,13.09
서초구,소계,"46,940","438,985",9.35,15.6
서초구,서초1동,"3,811","32,022",8.4,14.83
서초구,서초2동,"5,072","53,003",10.45,24.45
서초구,서초3동,"7,725","81,064",10.49,15.16
서초구,서초4동,"3,012","28,529",9.47,17.3
서초구,잠원동,"2,199","18,054",8.21,22.19
서초구,반포본동,665,"2,326",3.5,8.27
서초구,반포1동,"1,737","10,255",5.9,22.51
서초구,반포2동,306,"2,142",7,10.46
서초구,반포3동,964,"7,502",7.78,16.6
서초구,반포4동,"3,291","29,877",9.08,9.69
서초구,방배본동,"1,623","10,497",6.47,14.36
서초구,방배1동,"1,907","16,332",8.56,14.37
서초구,방배2동,"1,852","17,806",9.61,16.2
서초구,방배3동,"1,186","13,826",11.66,8.85
서초구,방배4동,"2,149","14,635",6.81,13.96
서초구,양재1동,"3,616","44,006",12.17,13.58
서초구,양재2동,"4,989","48,262",9.67,11.02
서초구,내곡동,836,"8,847",10.58,15.31
강남구,소계,"71,027","698,840",9.84,17.5
강남구,신사동,"4,140","26,210",6.33,18.43
강남구,논현1동,"5,309","41,829",7.88,17.54
강남구,논현2동,"5,596","62,264",11.13,19.14
강남구,삼성1동,"4,079","63,573",15.59,19
강남구,삼성2동,"3,661","37,531",10.25,19.89
강남구,대치1동,"1,068","6,451",6.04,13.76
강남구,대치4동,"3,677","31,920",8.68,19.5
강남구,역삼1동,"15,451","155,883",10.09,19.28
강남구,역삼2동,"3,775","38,437",10.18,21.11
강남구,도곡1동,"1,596","17,066",10.69,17.04
강남구,도곡2동,"1,828","19,895",10.88,12.86
강남구,개포1동,169,875,5.18,8.88
강남구,개포4동,"1,884","10,524",5.59,11.2
강남구,일원본동,500,"9,755",19.51,11.2
강남구,일원1동,"2,123","6,888",3.24,4.9
강남구,일원2동,564,"9,506",16.85,8.69
강남구,수서동,"1,504","18,055",12,12.23
강남구,세곡동,"1,338","7,062",5.28,19.06
강남구,압구정동,"3,919","29,427",7.51,16.61
강남구,청담동,"4,212","38,137",9.05,19.14
강남구,대치2동,"3,897","64,496",16.55,14.45
강남구,개포2동,737,"3,056",4.15,16.28
송파구,소계,"48,644","341,201",7.01,14.99
송파구,풍납1동,730,"2,489",3.41,9.59
송파구,풍납2동,"1,151","16,316",14.18,9.99
송파구,거여1동,826,"3,649",4.42,11.62
송파구,거여2동,841,"4,560",5.42,10.34
송파구,마천1동,994,"2,411",2.43,11.57
송파구,마천2동,"1,350","4,236",3.14,11.85
송파구,방이1동,"1,317","8,454",6.42,13.36
송파구,방이2동,"3,125","19,808",6.34,17.73
송파구,오륜동,496,"5,724",11.54,8.06
송파구,오금동,"2,397","16,687",6.96,12.18
송파구,송파1동,"2,509","14,692",5.86,14.87
송파구,송파2동,836,"4,149",4.96,15.55
송파구,석촌동,"2,666","15,306",5.74,17.59
송파구,삼전동,"2,028","11,418",5.63,15.04
송파구,가락본동,"3,489","25,440",7.29,15.22
송파구,가락1동,"2,988","11,391",3.81,9.2
송파구,가락2동,"1,901","9,763",5.14,13.57
송파구,문정1동,"1,295","6,194",4.78,14.05
송파구,문정2동,"7,131","59,850",8.39,19.89
송파구,장지동,"1,337","9,229",6.9,15.18
송파구,위례동,667,"3,859",5.79,27.14
송파구,잠실본동,"3,042","19,197",6.31,17.29
송파구,잠실4동,383,"1,696",4.43,15.14
송파구,잠실6동,"2,629","49,280",18.74,10.54
송파구,잠실7동,196,"1,284",6.55,6.63
송파구,잠실2동,777,"4,583",5.9,15.06
송파구,잠실3동,"1,543","9,536",6.18,17.43
강동구,소계,"29,080","141,770",4.88,14.02
