adstrd_nm,adstrd_cd,raw_dn_nm,raw_dn_cd,tot_popltn_co,tot_hshld_co,hshld_pprty_popltn_co,avrg_income_amount_am
서울특별시 종로구 교남동,1111058000,행촌동,1111018100,10624,4581,2.32,3415.10
서울특별시 종로구 교남동,1111058000,교북동,1111018000,10624,4581,2.32,3715.15
서울특별시 종로구 교남동,1111058000,홍파동,1111017900,10624,4581,2.32,6237.56
서울특별시 종로구 교남동,1111058000,평동,1111017700,10624,4581,2.32,5883.46
서울특별시 종로구 교남동,1111058000,교남동,1111017600,10624,4581,2.32,6827.58
서울특별시 종로구 가회동,1111060000,원서동,1111014900,4380,2056,2.13,3443.01
서울특별시 종로구 가회동,1111060000,계동,1111014800,4380,2056,2.13,5012.34
서울특별시 종로구 가회동,1111060000,재동,1111014700,4380,2056,2.13,6484.44
서울특별시 종로구 가회동,1111060000,가회동,1111014600,4380,2056,2.13,7463.22
서울특별시 종로구 종로1.2.3.4가동,1111061500,종로4가,1111016100,7331,5275,1.39,6993.44
서울특별시 종로구 종로1.2.3.4가동,1111061500,원남동,1111015900,7331,5275,1.39,3544.17
서울특별시 종로구 종로1.2.3.4가동,1111061500,예지동,1111015800,7331,5275,1.39,3843.34
서울특별시 종로구 종로1.2.3.4가동,1111061500,인의동,1111015700,7331,5275,1.39,5503.98
서울특별시 종로구 종로1.2.3.4가동,1111061500,종로3가,1111015600,7331,5275,1.39,8734.80
서울특별시 종로구 종로1.2.3.4가동,1111061500,관수동,1111015500,7331,5275,1.39,7385.29
서울특별시 종로구 종로1.2.3.4가동,1111061500,장사동,1111015400,7331,5275,1.39,4575.33
서울특별시 종로구 종로1.2.3.4가동,1111061500,돈의동,1111015300,7331,5275,1.39,2804.26
서울특별시 종로구 종로1.2.3.4가동,1111061500,봉익동,1111015200,7331,5275,1.39,3917.60
서울특별시 종로구 종로1.2.3.4가동,1111061500,묘동,1111015100,7331,5275,1.39,4721.80
서울특별시 종로구 종로1.2.3.4가동,1111061500,낙원동,1111013700,7331,5275,1.39,3531.25
서울특별시 종로구 종로1.2.3.4가동,1111061500,인사동,1111013600,7331,5275,1.39,4576.45
서울특별시 종로구 종로1.2.3.4가동,1111061500,관철동,1111013500,7331,5275,1.39,8658.00
서울특별시 종로구 종로1.2.3.4가동,1111061500,경운동,1111013400,7331,5275,1.39,2610.38
서울특별시 종로구 종로1.2.3.4가동,1111061500,익선동,1111013300,7331,5275,1.39,3359.85
