unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
EUR_KGOE,TR	5.07 	5.21 	5.22 	5.21 	5.54 	5.80 	5.64 	5.50 	5.66 	5.39 	5.53 	5.76 	5.77 	6.43 	6.29 	6.18 	6.05 	6.04 	6.32 	6.28 	6.51 	6.63 
EUR_KGOE,UK	6.79 	6.95 	7.21 	7.31 	7.53 	7.70 	8.02 	8.48 	8.55 	8.85 	8.68 	9.44 	9.40 	9.76 	10.62 	10.69 	11.01 	11.35 	11.51 	11.88 	: 	: 
EUR_KGOE,XK	: 	: 	: 	: 	: 	: 	: 	: 	1.65 	1.56 	1.60 	1.69 	1.83 	1.99 	2.14 	1.99 	1.96 	2.17 	2.23 	2.26 	2.14 	2.19 
PPS_KGOE,AL	5.36 	5.78 	5.60 	6.12 	6.00 	6.43 	7.16 	8.31 	8.79 	8.97 	9.86 	9.84 	11.14 	9.26 	9.81 	10.88 	10.47 	10.45 	10.94 	11.37 	11.80 	12.44 
PPS_KGOE,AT	6.69 	6.41 	6.66 	6.56 	6.81 	6.86 	7.13 	7.57 	7.76 	7.90 	7.63 	8.21 	8.57 	8.59 	9.08 	9.18 	9.35 	9.40 	10.03 	10.06 	10.34 	10.43 
PPS_KGOE,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.75 	4.85 	4.60 	4.75 	4.56 	4.94 	4.85 	5.21 
PPS_KGOE,BE	3.65 	3.82 	4.03 	3.95 	4.05 	4.25 	4.42 	4.62 	4.56 	4.84 	4.81 	5.31 	5.74 	5.61 	6.12 	6.29 	6.06 	6.17 	6.36 	6.58 	7.13 	7.02 
PPS_KGOE,BG	2.33 	2.36 	2.62 	2.74 	3.04 	3.20 	3.31 	3.74 	4.14 	4.48 	4.65 	4.47 	4.77 	5.08 	5.08 	5.06 	5.41 	5.49 	5.75 	6.12 	6.41 	6.61 
PPS_KGOE,CY	4.69 	5.03 	5.26 	5.11 	6.01 	5.92 	6.09 	6.56 	6.70 	6.75 	7.14 	7.28 	7.44 	7.76 	7.44 	7.65 	7.72 	8.02 	8.27 	8.83 	9.46 	9.96 
PPS_KGOE,CZ	3.35 	3.52 	3.55 	3.65 	3.79 	4.06 	4.18 	4.60 	4.94 	5.11 	4.86 	5.20 	5.25 	5.38 	5.84 	6.11 	6.36 	6.50 	6.80 	7.25 	7.44 	7.43 
PPS_KGOE,DE	5.39 	5.46 	5.69 	5.83 	6.03 	6.15 	6.22 	6.88 	6.95 	7.02 	7.07 	7.87 	7.90 	7.86 	8.56 	8.72 	8.96 	9.29 	9.80 	10.17 	10.75 	10.91 
PPS_KGOE,DK	6.11 	6.17 	6.53 	6.25 	6.89 	7.36 	7.25 	7.70 	8.32 	8.43 	8.59 	9.38 	9.90 	10.02 	10.72 	11.11 	11.23 	11.91 	12.21 	12.69 	14.00 	14.41 
PPS_KGOE,EE	2.27 	2.34 	2.78 	2.90 	2.92 	3.29 	3.66 	3.55 	4.05 	4.43 	3.55 	4.08 	4.47 	4.15 	4.62 	5.37 	4.55 	4.91 	5.33 	6.70 	7.17 	7.81 
PPS_KGOE,EL	5.56 	5.84 	6.24 	6.45 	6.74 	6.78 	7.29 	7.44 	7.69 	7.73 	7.56 	7.01 	6.88 	7.85 	8.04 	8.05 	8.12 	7.97 	8.28 	8.45 	9.02 	9.47 
PPS_KGOE,ES	5.59 	5.79 	6.01 	6.09 	6.16 	6.48 	7.11 	7.46 	7.88 	8.08 	8.06 	8.04 	7.97 	8.53 	8.86 	8.94 	9.16 	9.23 	9.41 	10.00 	9.97 	10.15 
PPS_KGOE,EU27_2020	5.12 	5.22 	5.40 	5.41 	5.58 	5.79 	6.06 	6.51 	6.74 	6.85 	6.84 	7.26 	7.41 	7.58 	8.03 	8.21 	8.36 	8.53 	8.88 	9.34 	9.76 	9.94 
PPS_KGOE,FI	3.44 	3.49 	3.39 	3.28 	3.48 	3.90 	3.75 	4.17 	4.54 	4.52 	4.27 	4.61 	4.76 	4.83 	4.75 	5.08 	5.02 	5.20 	5.26 	5.46 	5.84 	5.91 
PPS_KGOE,FR	5.10 	5.23 	5.40 	5.26 	5.34 	5.64 	5.95 	6.31 	6.38 	6.42 	6.50 	6.83 	6.84 	7.02 	7.40 	7.47 	7.74 	7.96 	8.27 	8.87 	9.49 	9.50 
PPS_KGOE,HR	4.66 	4.69 	4.98 	5.00 	5.34 	5.54 	6.16 	6.53 	7.06 	6.87 	6.88 	7.25 	7.75 	7.94 	8.33 	8.29 	8.53 	8.67 	9.21 	9.61 	9.46 	10.24 
PPS_KGOE,HU	3.99 	4.31 	4.69 	4.89 	5.08 	4.96 	5.22 	5.49 	5.94 	6.07 	6.19 	6.57 	6.88 	7.33 	7.63 	7.52 	7.46 	7.44 	7.92 	8.36 	8.35 	8.65 
PPS_KGOE,IE	6.57 	6.81 	7.30 	7.99 	8.45 	8.85 	9.58 	10.01 	9.60 	9.29 	9.81 	11.00 	11.14 	11.77 	12.50 	16.21 	15.59 	17.40 	18.54 	19.31 	22.06 	24.57 
PPS_KGOE,IS	2.03 	2.29 	2.27 	2.29 	2.51 	2.64 	2.27 	2.05 	1.88 	1.71 	1.71 	1.62 	1.70 	1.70 	1.77 	1.99 	2.20 	2.18 	2.06 	2.22 	2.17 	2.36 
PPS_KGOE,IT	7.27 	7.49 	7.55 	7.35 	7.40 	7.46 	7.88 	8.29 	8.65 	8.83 	8.77 	9.32 	9.61 	9.83 	10.39 	10.22 	10.74 	10.68 	11.04 	11.42 	11.66 	11.72 
PPS_KGOE,LT	3.30 	3.19 	3.25 	3.57 	3.74 	4.33 	4.76 	5.01 	5.29 	4.88 	6.52 	6.90 	7.23 	8.03 	8.38 	8.29 	8.20 	8.34 	8.60 	9.21 	9.41 	10.00 
PPS_KGOE,LU	5.46 	5.32 	5.33 	5.27 	5.15 	5.46 	6.27 	6.96 	7.44 	7.47 	7.47 	7.99 	8.49 	9.12 	9.94 	10.57 	10.94 	10.88 	10.66 	10.76 	12.49 	13.20 
PPS_KGOE,LV	4.08 	4.03 	4.42 	4.55 	4.84 	5.26 	5.64 	6.26 	6.75 	5.76 	5.76 	6.43 	6.69 	6.99 	7.26 	7.66 	7.73 	7.95 	8.35 	8.42 	9.00 	9.14 
PPS_KGOE,ME	: 	: 	: 	: 	: 	: 	4.44 	5.30 	5.37 	6.30 	5.66 	5.90 	5.94 	6.70 	7.03 	7.17 	7.95 	8.11 	8.45 	8.78 	8.16 	8.81 
PPS_KGOE,MK	3.84 	3.92 	4.14 	3.94 	4.32 	4.48 	4.75 	4.87 	5.51 	6.05 	6.13 	5.74 	6.04 	6.81 	7.35 	7.77 	8.05 	8.10 	9.12 	8.62 	9.06 	9.38 
PPS_KGOE,MT	4.05 	3.73 	4.04 	3.74 	3.67 	4.63 	4.45 	4.47 	4.46 	4.09 	3.77 	3.96 	4.33 	4.80 	5.06 	5.22 	5.08 	4.72 	4.90 	5.17 	5.15 	6.27 
PPS_KGOE,NL	4.61 	4.66 	4.78 	4.68 	4.79 	5.06 	5.34 	5.69 	6.01 	5.84 	5.66 	6.07 	6.19 	6.47 	6.77 	6.87 	6.86 	7.13 	7.61 	7.87 	8.15 	8.59 
PPS_KGOE,NO	5.23 	5.04 	5.47 	5.21 	5.43 	5.98 	6.60 	7.24 	7.25 	6.52 	6.52 	7.96 	7.91 	7.65 	8.23 	8.47 	7.32 	7.54 	8.12 	8.29 	7.92 	9.77 
PPS_KGOE,PL	3.79 	3.91 	4.15 	4.22 	4.54 	4.68 	4.70 	5.19 	5.49 	5.86 	5.91 	6.31 	6.77 	6.77 	7.26 	7.63 	7.37 	7.41 	7.48 	8.24 	8.49 	8.68 
PPS_KGOE,PT	6.20 	6.44 	6.42 	6.76 	6.71 	6.98 	7.72 	8.03 	8.36 	8.23 	8.78 	8.66 	8.94 	9.15 	9.19 	9.12 	9.34 	9.20 	9.80 	10.18 	10.68 	11.30 
PPS_KGOE,RO	2.97 	3.23 	3.33 	3.35 	4.00 	4.33 	4.86 	5.67 	6.74 	7.35 	7.59 	7.89 	8.38 	8.89 	9.30 	9.65 	10.28 	10.80 	11.62 	12.72 	13.04 	13.40 
PPS_KGOE,RS	2.77 	2.72 	2.81 	2.83 	2.86 	3.49 	3.52 	3.94 	4.27 	4.55 	4.53 	4.54 	5.07 	5.06 	5.60 	5.13 	5.03 	5.08 	5.40 	5.76 	5.53 	6.04 
PPS_KGOE,SE	4.45 	4.24 	4.28 	4.48 	4.56 	4.75 	5.22 	5.69 	5.84 	6.03 	5.72 	5.97 	6.09 	6.23 	6.42 	7.08 	6.80 	6.81 	6.98 	7.39 	8.04 	8.31 
PPS_KGOE,SI	4.53 	4.48 	4.74 	4.87 	5.09 	5.15 	5.44 	5.74 	5.74 	5.98 	5.93 	6.08 	6.29 	6.51 	6.90 	7.15 	7.12 	7.34 	7.76 	8.39 	8.72 	9.27 
PPS_KGOE,SK	2.87 	2.98 	3.15 	3.37 	3.66 	3.92 	4.36 	5.07 	5.42 	5.62 	5.85 	6.14 	6.51 	6.53 	7.15 	7.21 	6.86 	6.53 	6.80 	7.07 	7.16 	6.88 
PPS_KGOE,TR	6.51 	6.92 	6.63 	6.56 	7.25 	7.73 	7.92 	8.05 	8.83 	8.40 	9.08 	9.59 	9.70 	10.70 	10.81 	10.91 	10.46 	10.28 	10.47 	10.11 	10.28 	10.54 
PPS_KGOE,UK	5.49 	5.74 	6.06 	6.25 	6.65 	6.81 	7.18 	7.61 	7.86 	7.94 	8.02 	8.73 	8.81 	9.18 	10.04 	10.29 	10.52 	11.00 	11.27 	11.77 	: 	: 
