animals,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
A5000X5110O_5140,HD,BG	: 	: 	2480 	1560 	1476 	2772 	3926 	3041 	0 	: 	0 
A5000X5110O_5140,HD,CH	: 	: 	3047 	3189 	3628 	3431 	2603 	2581 	2780 	2922 	2597 
A5000X5110O_5140,HD,CY	: 	: 	0 	0 	0 	: 	: 	0 	0 	: 	: 
A5000X5110O_5140,HD,CZ	: 	: 	2616 	1760 	1773 	3208 	3399 	3141 	2447 	1785 	1989 
A5000X5110O_5140,HD,DE	: 	: 	1492674 	: 	: 	: 	242482 	: 	: 	: 	: 
A5000X5110O_5140,HD,DK	: 	: 	1243511 	772794 	973359 	953693 	142865 	168064 	127994 	: 	132239 
A5000X5110O_5140,HD,EE	: 	: 	434 	990 	1478 	1679 	1457 	1766 	1689 	2520 	: 
A5000X5110O_5140,HD,EL	: 	: 	: 	: 	: 	: 	: 	1900 	: 	: 	: 
A5000X5110O_5140,HD,ES	: 	: 	6181 	23824 	13780 	22404 	40709 	12290 	14203 	1431 	1477 
A5000X5110O_5140,HD,FI	: 	: 	27 d	11 d	116 	: 	: 	839 	1166 	469 	: 
A5000X5110O_5140,HD,FR	: 	: 	964517 e	815000 e	667481 	735549 	536520 	518761 	448198 	400038 	: 
A5000X5110O_5140,HD,HR	: 	: 	111 	133 	124 	443 	730 	774 	866 	39 	: 
A5000X5110O_5140,HD,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8090 
A5000X5110O_5140,HD,IE	: 	: 	37721 	37211 	: 	32419 	: 	27164 	: 	: 	: 
A5000X5110O_5140,HD,IS	: 	: 	25 	: 	: 	: 	: 	: 	: 	: 	: 
A5000X5110O_5140,HD,IT	: 	: 	: 	: 	: 	: 	: 	49924 	44008 	38345 	35314 
A5000X5110O_5140,HD,LT	: 	: 	283 	79 	375 	4499 d	547 	722 	1291 	871 	189 
A5000X5110O_5140,HD,LU	: 	: 	104 	82 	208 	75 	50 	80 	101 	82 	164 
A5000X5110O_5140,HD,LV	: 	: 	3876 	4537 	: 	: 	: 	: 	3254 	: 	: 
A5000X5110O_5140,HD,ME	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A5000X5110O_5140,HD,MK	: 	: 	: 	: 	: 	: 	: 	: 	60 	44 	: 
A5000X5110O_5140,HD,MT	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	0 
A5000X5110O_5140,HD,NL	: 	: 	35356 	34654 	10829 	11020 	: 	160 	9602 	: 	: 
A5000X5110O_5140,HD,NO	: 	: 	204330 	221132 	166125 	133028 	122143 	119643 	121095 	124586 	123608 
A5000X5110O_5140,HD,PL	: 	: 	: 	57530 	33633 	69176 	34807 	31822 	42258 	38982 	55905 
A5000X5110O_5140,HD,PT	: 	: 	999 	2277 	197 	117 	: 	: 	: 	: 	: 
A5000X5110O_5140,HD,RO	: 	: 	1148 	1460 	: 	1300 	: 	: 	0 	: 	20 
A5000X5110O_5140,HD,RS	: 	: 	68 	349 	0 	0 	0 	0 	: 	: 	: 
A5000X5110O_5140,HD,SI	: 	: 	: 	: 	: 	: 	: 	: 	4202 	3370 	2286 
A5000X5110O_5140,HD,SK	: 	: 	: 	: 	: 	46 	681 	25 	0 	2 	0 
A5000X5110O_5140,HD,TR	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 	: 
A5000X5110O_5140,HD,UK	: 	: 	: 	112188 	89550 	95575 	112103 	114605 	102903 	77574 	59215 
A5110O,HD,AT	: 	: 	1035485 	915800 	875475 	854826 	831477 	740625 	625222 	: 	809790 
A5110O,HD,BE	: 	: 	911803 	905960 	825850 	665390 	352046 	362569 	281657 	277822 	320194 
A5110O,HD,BG	: 	: 	1050 	700 	700 	350 	0 	0 	500 	: 	0 
A5110O,HD,CH	: 	: 	937915 	855584 	791739 	750022 	655764 	620802 	598149 	534086 	488944 
A5110O,HD,CY	: 	: 	13939 	15167 	10354 	8162 	8111 	4187 	5616 	3550 	: 
A5110O,HD,CZ	: 	: 	17551 	21864 	19942 	14110 	15855 	16337 	13746 	19777 	13538 
A5110O,HD,DE	: 	: 	5761932 	: 	: 	: 	5350342 	: 	: 	: 	: 
A5110O,HD,DK	: 	: 	1216144 	1279786 	1147678 	1035027 	1492382 	1422682 	998935 	1038053 	910356 
A5110O,HD,EE	: 	: 	30325 	30760 	29642 	22143 	22423 	17541 	17104 	17118 	16191 
A5110O,HD,EL	: 	: 	: 	: 	: 	: 	: 	67765 	: 	: 	: 
A5110O,HD,ES	: 	: 	943106 	833937 	629508 	444796 	313632 	253102 	211318 	185247 	124229 
A5110O,HD,FI	: 	: 	319839 d	311550 d	284342 	: 	: 	198064 	166424 	162711 	: 
A5110O,HD,FR	: 	: 	8733652 e	7733313 e	6592834 	5020034 	4372013 	3894718 	3734551 	3351274 	3356877 
A5110O,HD,HR	: 	: 	4800 	1367 	1661 	1702 	2508 	1114 	691 	475 	: 
A5110O,HD,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35608 
A5110O,HD,IE	: 	: 	132121 	127669 	: 	96190 	: 	73732 	: 	57152 	: 
A5110O,HD,IS	: 	: 	12215 	: 	: 	12513 	: 	: 	: 	: 	: 
A5110O,HD,IT	: 	: 	: 	: 	: 	: 	: 	1865558 	1904439 	1901639 	2010618 
A5110O,HD,LT	: 	: 	8266 	10029 	12950 	8960 	6795 	5369 	4879 	5371 	3884 
A5110O,HD,LU	: 	: 	23938 	18900 	16970 	14590 	14460 	10200 	10350 	11100 	9140 
A5110O,HD,LV	: 	: 	33645 	36148 	: 	: 	: 	: 	20796 	: 	: 
A5110O,HD,ME	: 	: 	300 	160 	170 	390 	0 	: 	: 	: 	: 
A5110O,HD,MK	: 	: 	: 	: 	: 	: 	: 	: 	90 	52 	: 
A5110O,HD,MT	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	0 
A5110O,HD,NL	: 	: 	3663838 	3755640 	3623193 	3210893 	: 	2574561 	2285152 	2089448 	2120890 
A5110O,HD,NO	: 	: 	316569 	307495 	294342 	264146 	242067 	203846 	181246 	161619 	151095 
A5110O,HD,PL	: 	: 	: 	405405 	279986 	184241 	179787 	139222 	193779 	188351 	203754 
A5110O,HD,PT	: 	: 	50151 	51766 	48362 	35949 	: 	: 	: 	: 	: 
A5110O,HD,RO	: 	: 	143198 	125415 	: 	: 	60220 	: 	57797 	69831 	60064 
A5110O,HD,RS	: 	: 	8676 	6780 	4235 	2415 	3122 	: 	: 	: 	: 
A5110O,HD,SE	: 	: 	1222543 	1260977 	1283105 	1241010 	1272855 	1114159 	900002 	868378 	775407 
A5110O,HD,SI	: 	: 	: 	: 	: 	: 	: 	: 	27558 	26501 	28513 
A5110O,HD,SK	: 	: 	: 	: 	: 	3830 	4414 	4063 	8237 	8686 	8849 
A5110O,HD,TR	: 	: 	: 	749736 	635380 	657407 	575180 	362806 	254611 	187102 	: 
A5110O,HD,UK	: 	: 	: 	1585192 	1414866 	1239210 	1134991 	1091089 	1022795 	1016668 	1080223 
A5110OH,HD,AT	1179556 	1052706 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,BE	: 	974573 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,BG	1400 	1037 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,CH	758755 	699436 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,CZ	: 	30427 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,DE	7658983 e	7211257 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,DK	: 	1247549 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,EE	27185 	32312 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,EL	: 	120915 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,ES	: 	1147197 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,FI	: 	361221 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,FR	: 	9536193 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,HU	: 	52777 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,IS	: 	12072 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,LT	: 	12082 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,LU	: 	22470 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,LV	: 	29648 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,ME	300 	200 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,MK	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,MT	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,NL	: 	3632174 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,NO	: 	324946 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,RO	: 	186699 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,SE	: 	1160856 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,SK	: 	5691 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5110OH,HD,TR	: 	800252 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A5140,HD,AT	: 	: 	1533377 	1390986 	1248722 	1132177 	980699 	597579 	457868 	: 	339089 
A5140,HD,BE	: 	: 	4196697 	3683472 	3269147 	2639764 	2167775 	1905657 	1710047 	1620430 	1512538 
A5140,HD,BG	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	0 
A5140,HD,CH	: 	: 	358009 	325490 	258504 	232970 	192128 	155564 	138796 	136099 	111759 
A5140,HD,CY	: 	: 	6385 	8553 	13976 	11465 	11035 	3000 	3000 	6000 	: 
A5140,HD,CZ	: 	: 	29912 	30550 	27960 	26357 	22554 	21842 	23137 	15048 	23039 
A5140,HD,DE	: 	: 	1307470 	: 	: 	: 	1184745 	: 	: 	: 	: 
A5140,HD,DK	: 	: 	1472756 	1296635 	1385765 	1867564 	933916 	625803 	503478 	458203 	295311 
A5140,HD,EE	: 	: 	7025 	4565 	5092 	4975 	4543 	4825 	3008 	2735 	: 
A5140,HD,EL	: 	: 	: 	: 	: 	: 	: 	210250 	: 	: 	: 
A5140,HD,ES	: 	: 	1016218 	968820 	387457 	362900 	251170 	195231 	165696 	151748 	71806 
A5140,HD,FI	: 	: 	20550 d	23274 d	27744 	: 	: 	21714 	20613 	50 	: 
A5140,HD,FR	: 	: 	14146395 e	14165410 e	12921180 	11372916 	9728125 	8639351 	8572485 	7956858 	7879959 
A5140,HD,HR	: 	: 	7 	23 	85 	29 	150 	205 	983 	1522 	: 
A5140,HD,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	70277 
A5140,HD,IE	: 	: 	32906 	27496 	: 	22281 	: 	8706 	: 	15552 	: 
A5140,HD,IT	: 	: 	: 	: 	: 	: 	: 	2211102 	1542255 	1123420 	779046 
A5140,HD,LT	: 	: 	3659 	0 	3394 	: 	0 	0 	: 	0 	0 
A5140,HD,LU	: 	: 	14900 	15000 	15350 	15700 	16200 	14850 	10320 	10650 	10920 
A5140,HD,LV	: 	: 	9743 	4611 	: 	: 	: 	: 	656 	: 	: 
A5140,HD,ME	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A5140,HD,MK	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A5140,HD,MT	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	0 
A5140,HD,NL	: 	: 	190977 	136197 	99866 	84509 	: 	77260 	61626 	82930 	77740 
A5140,HD,NO	: 	: 	108640 	82800 	131800 	98646 	32796 	25845 	35872 	36340 	28999 
A5140,HD,PL	: 	: 	: 	21218 	36078 	38299 	36337 	31885 	21478 	16463 	30819 
A5140,HD,PT	: 	: 	5076 	10587 	8989 	12094 	: 	: 	: 	: 	: 
A5140,HD,RO	: 	: 	27045 	: 	: 	: 	0 	: 	0 	: 	37 
A5140,HD,RS	: 	: 	6192 	10751 	2500 	2000 	: 	: 	: 	: 	: 
A5140,HD,SE	: 	: 	148860 	134643 	128435 	171478 	145218 	52410 	28599 	26014 	: 
A5140,HD,SI	: 	: 	: 	: 	: 	: 	: 	: 	39777 	24886 	21958 
A5140,HD,SK	: 	: 	: 	: 	: 	: 	216 	43 	13 	20 	0 
A5140,HD,TR	: 	: 	: 	94583 	606790 	604900 	608862 	589804 	834167 	694512 	: 
A5140,HD,UK	: 	: 	: 	1767629 	1878710 	1725435 	1574262 	1354611 	1273102 	1393398 	1318218 
A6110,HD,AT	: 	: 	3221 	3305 	3429 	3706 	4121 	3323 	3250 	1400 	3463 
A6110,HD,BE	: 	: 	55 	100 	78 	117 	18 	10 	50 	54 	: 
A6110,HD,BG	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	0 
A6110,HD,CH	: 	: 	1613 	1811 	1825 	1602 	1733 	1859 	2409 	2346 	2360 
A6110,HD,CY	: 	: 	0 	0 	0 	: 	: 	0 	0 	0 	0 
A6110,HD,CZ	: 	: 	16 	31 	16 	35 	47 	61 	289 	418 	329 
A6110,HD,DK	: 	: 	646 	619 	952 	546 	: 	: 	: 	: 	: 
A6110,HD,EE	: 	: 	269 	334 	435 	545 	490 	2453 	2136 	1344 	: 
A6110,HD,ES	: 	: 	1199 	1267 	1237 	1511 	657 	589 	32 	0 	0 
A6110,HD,FI	: 	: 	0 	0 	: 	: 	: 	0 	0 	: 	0 
A6110,HD,FR	: 	: 	6587 e	8612 e	10227 	9726 	9978 	7612 	6887 	2997 	4070 
A6110,HD,HR	: 	: 	: 	: 	: 	5 	5 	5 	5 	47 	23 
A6110,HD,IE	: 	: 	: 	0 	: 	0 	: 	: 	: 	: 	: 
A6110,HD,IS	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 
A6110,HD,IT	: 	: 	: 	: 	: 	: 	: 	5734 	6524 	6418 	6352 
A6110,HD,LT	: 	: 	0 	0 	0 	0 	166 	781 	92 	84 	57 
A6110,HD,LU	: 	: 	55 	59 	36 	67 	60 	59 	98 	93 	164 
A6110,HD,LV	: 	: 	4593 	5218 	5688 	5037 	5777 	5043 	7363 	5436 	3326 
A6110,HD,ME	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A6110,HD,MK	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A6110,HD,MT	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	0 
A6110,HD,NL	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 
A6110,HD,NO	: 	: 	0 	0 	9 	4 	2 	35 	32 	30 	0 
A6110,HD,PL	: 	: 	: 	3524 	3034 	5866 	9906 	9943 	4851 	6119 	9008 
A6110,HD,PT	: 	: 	0 	0 	0 	0 	: 	0 	0 	2740 	: 
A6110,HD,RO	: 	: 	0 	0 	: 	: 	: 	: 	0 	: 	: 
A6110,HD,RS	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 
A6110,HD,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 
A6110,HD,SI	: 	: 	: 	: 	: 	: 	1849 	1598 	1694 	1436 	1402 
A6110,HD,SK	: 	: 	5 	0 	: 	: 	0 	0 	11 	11 	0 
A6110,HD,TR	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 	: 
A6710R,NR,AT	: 	: 	22192 	22874 	21432 	19329 	19146 	25000 e	: 	: 	: 
A6710R,NR,BE	: 	: 	30 	22 	27 	24 	21 	24 	: 	0 	: 
A6710R,NR,BG	: 	: 	223151 	220765 	227721 	250434 	236462 	178331 	89553 	117360 	85346 
A6710R,NR,CY	: 	: 	184 	0 	0 	: 	: 	0 	0 	0 	0 
A6710R,NR,CZ	: 	: 	639 	703 	584 	87 	80 	27 	39 	703 	448 
A6710R,NR,DK	: 	: 	177 	631 	315 	277 	59 	50 	56 	: 	: 
A6710R,NR,EE	: 	: 	2899 	2530 	2384 	2771 	2189 	1139 	1684 	1131 	917 
A6710R,NR,ES	: 	: 	81650 	77020 	81030 	73878 	69126 	58253 	48470 	50822 	50823 
A6710R,NR,FI	: 	: 	6190 d	5483 d	4488 	: 	: 	4456 	4915 	4116 	3990 
A6710R,NR,FR	: 	: 	179027 e	142000 e	122545 	112292 	102767 	99740 	96478 	93157 	734 
A6710R,NR,HR	: 	: 	2367 	2023 	2022 	1721 	2065 	3418 	3649 	2678 	2462 
A6710R,NR,IE	: 	: 	: 	0 	: 	0 	: 	0 	: 	30 	58 
A6710R,NR,IS	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 
A6710R,NR,IT	: 	: 	: 	: 	: 	: 	: 	195341 	146692 	140004 	128241 
A6710R,NR,LT	: 	: 	1092 	902 	883 	1098 	994 	790 	790 	804 	806 
A6710R,NR,LU	: 	: 	116 	82 	63 	47 	37 	44 	44 	34 	33 
A6710R,NR,LV	: 	: 	23541 	24279 	28090 	25863 	27482 	24167 	15888 	12036 	16701 
A6710R,NR,ME	: 	: 	3381 	1964 	2788 	2375 	1851 	: 	: 	: 	: 
A6710R,NR,MK	: 	: 	9829 	9061 	8138 	7664 	7880 	6104 	6172 	6148 	: 
A6710R,NR,MT	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	0 
A6710R,NR,NO	: 	: 	1861 	1830 	1721 	1553 	1564 	1507 	1347 	1376 	1454 
A6710R,NR,PL	: 	: 	: 	2856 	2319 	2434 	1948 	2442 	1844 	1773 	1989 
A6710R,NR,PT	: 	: 	48604 	53849 	42105 	55249 	: 	55167 	47118 	33942 	32409 
A6710R,NR,RO	: 	: 	170789 	175959 	138557 	: 	86195 	79654 	81583 	81772 	85225 
A6710R,NR,RS	: 	: 	12618 	9969 	3061 	2307 	1735 	471 	884 	603 	: 
A6710R,NR,SI	: 	: 	: 	: 	: 	: 	1814 	1400 	1631 	1803 	1598 
A6710R,NR,SK	: 	: 	251 	439 	: 	426 	456 	354 	477 	364 	371 
A6710R,NR,TR	: 	: 	89128 	50100 	51742 	48153 	40371 	38296 	36391 	32342 	: 
A6900,HD,AT	: 	: 	10657 	10184 	9563 	8377 	9307 	8109 	: 	: 	: 
A6900,HD,BE	: 	: 	361 	345 	307 	290 	10286 	228 	264 	266 	: 
A6900,HD,BG	: 	: 	0 	0 	0 	0 	120 	20 	0 	: 	0 
A6900,HD,CH	: 	: 	3693 	3697 	3348 	3296 	3040 	2869 	2599 	2338 	2117 
A6900,HD,CY	: 	: 	0 	0 	0 	: 	: 	0 	0 	0 	0 
A6900,HD,CZ	: 	: 	100 	: 	0 	203 	127 	86 	75 	183 	157 
A6900,HD,DK	: 	: 	672 	586 	427 	722 	826 	524 	0 	: 	: 
A6900,HD,EE	: 	: 	13 	9 	0 	0 	: 	: 	: 	: 	: 
A6900,HD,ES	: 	: 	: 	: 	: 	: 	: 	209506 	500 	25 	0 
A6900,HD,FI	: 	: 	36 	48 	52 	: 	: 	: 	: 	: 	: 
A6900,HD,FR	: 	: 	: 	9106599 e	9846460 	8034922 	8106794 	: 	5988060 	: 	: 
A6900,HD,HR	: 	: 	: 	: 	10100 	: 	10400 	237 	: 	13472 	: 
A6900,HD,IE	: 	: 	861 	767 	: 	1038 	: 	771 	: 	: 	: 
A6900,HD,IT	: 	: 	: 	: 	: 	: 	: 	32154 	3812 	3766 	: 
A6900,HD,LT	: 	: 	919 	1051 	17 	0 	0 	1238 	1776 	1312 	: 
A6900,HD,LU	: 	: 	4 	4 	1 	0 	3 	4 	0 	0 	0 
A6900,HD,ME	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A6900,HD,MK	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A6900,HD,MT	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	0 
A6900,HD,NL	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 
A6900,HD,NO	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 
A6900,HD,PL	: 	: 	: 	3747 	3487 	4440 	4219 	4485 	5399 	4742 	: 
A6900,HD,PT	: 	: 	0 	0 	0 	0 	: 	: 	0 	0 	: 
A6900,HD,RO	: 	: 	1444 	1893 	: 	1791 	3353 	4515 	2667 	4878 	5217 
A6900,HD,RS	: 	: 	0 	0 	0 	47 	: 	0 	: 	: 	: 
A6900,HD,SI	: 	: 	: 	: 	: 	: 	1984 	1973 	1896 	1688 	1589 
A6900,HD,SK	: 	: 	14 	21 	: 	7 	19 	7 	9 	17 	13 
A6900,HD,TR	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 	: 
