animals,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
A2000B,HD,ME	: 	: 	172 	245 	398 	200 	0 	: 	: 	: 	: 
A2000B,HD,MT	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A2000B,HD,NL	: 	: 	9329 	8831 	8926 	8806 	8285 	7689 	9641 	10601 	11370 
A2000B,HD,PL	: 	: 	8341 	8320 	7486 	8096 	8433 	9144 	11653 	19871 	25589 
A2000B,HD,PT	: 	: 	84079 	87492 	87103 	16440 	8136 	: 	: 	: 	: 
A2000B,HD,RO	: 	: 	690 	426 	701 	481 	478 	491 	244 	1101 	745 
A2000B,HD,RS	: 	: 	435 	1264 	1112 	470 	10 	0 	: 	0 	: 
A2000B,HD,SE	: 	: 	46799 	46565 	47188 	43999 	43865 	39081 	37146 	38848 	: 
A2000B,HD,SK	: 	: 	4040 	32551 	14303 	67 	17980 	14346 	8725 	8520 	12194 
A2000B,HD,TR	: 	: 	: 	: 	282 	1498 	4107 	2168 	1658 	10751 	: 
A2000B,HD,UK	: 	: 	: 	88193 	116129 	111342 	98699 	102418 	104730 	97461 	95384 
A2300F,HD,AT	120722 	117137 	116441 	115371 	115424 	115080 	106735 	95361 	96829 	95873 	94591 
A2300F,HD,BE	: 	24646 	24308 	22449 	21520 	20101 	16551 	13146 	12955 	12279 	13049 
A2300F,HD,BG	2946 	2703 	2689 	3033 	2405 	2955 	2906 	1777 	789 	535 	328 
A2300F,HD,CH	63426 	62947 	62378 	60650 	59954 	55356 	51552 	50658 	50489 	50406 	49186 
A2300F,HD,CY	: 	609 	536 	596 	401 	254 	281 	101 	0 	0 	0 
A2300F,HD,CZ	: 	7276 	7292 	7247 	7125 	6686 	6913 	7370 	7402 	7047 	7080 
A2300F,HD,DE	260543 e	240630 e	226604 	226912 	195750 	203958 	175583 	150283 	148500 	141800 	133095 
A2300F,HD,DK	: 	81633 	78796 	78163 	78972 	70993 	58129 	55788 	63261 	62787 	65057 
A2300F,HD,EE	1853 	1852 	1809 	1835 	1835 	1743 	1813 	1938 	2211 	2322 	2542 
A2300F,HD,EL	: 	21101 	18734 	16956 	14351 	12044 	3990 	4000 	3160 	3492 	3790 
A2300F,HD,ES	: 	12954 	11387 	10413 	8661 	8394 	7086 	4556 	4045 	3303 	4310 
A2300F,HD,FI	: 	10529 	10393 	10024 	9802 	9207 	8508 	8438 	7354 	6290 	6447 
A2300F,HD,FR	: 	190894 e	168937 e	159578 e	145649 	128386 	120112 	113608 	140097 	121443 	95429 
A2300F,HD,HR	: 	289 	505 	364 	996 	2565 	1824 	1717 	1461 	2185 	1371 
A2300F,HD,HU	: 	1532 	767 	1200 	1169 	3272 	3339 	2744 	2157 	2288 	2277 
A2300F,HD,IE	: 	4656 	3823 	5408 	4752 	2560 	2912 	2163 	1900 	1945 	1737 
A2300F,HD,IS	: 	203 	111 	125 	112 	114 	: 	: 	: 	: 	: 
A2300F,HD,IT	: 	81117 	84843 	79542 p	80547 	64855 	75754 	57206 	53181 	44644 	41799 
A2300F,HD,LT	: 	13542 	13764 	14153 	14439 	14706 	9516 	9363 	9561 	9970 	8623 
A2300F,HD,LU	: 	894 	878 	717 	787 	596 	564 	508 	534 	591 	482 
A2300F,HD,LV	: 	16463 	17603 	18117 	18517 	19101 	19420 	17971 	19772 	12125 	11132 
