crops,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
C1120,T,HU	: 	1553 e	690 	1132 	977 	805 	962 	1113 	1379 	952 	644 
C1120,T,IE	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
C1120,T,IS	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 
C1120,T,IT	: 	: 	: 	: 	: 	381325 	350227 	205881 	141132 	: 	292586 
C1120,T,LT	: 	431 	93 	118 	140 	186 	750 	0 	0 	0 	0 
C1120,T,LU	: 	0 n	0 	0 	0 	0 	0 	0 	0 	0 	0 
C1120,T,LV	: 	0 	0 	0 	: 	0 	0 	0 	0 	: 	: 
C1120,T,ME	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1120,T,MT	: 	0 	0 	2 	0 	0 	0 	5 	0 	: 	: 
C1120,T,NL	: 	0 	0 	0 	0 	0 	0 e	0 	: 	: 	: 
C1120,T,NO	: 	: 	0 	: 	: 	: 	: 	: 	0 	: 	: 
C1120,T,PL	: 	0 	0 	8 	0 	0 	0 	0 	: 	: 	: 
C1120,T,RO	: 	9399 	3418 	702 	1637 	1138 	4232 	2765 	2728 	: 	: 
C1120,T,RS	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
C1120,T,SE	: 	0 n	: 	: 	: 	0 	0 	0 	0 	0 	0 
C1120,T,SI	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	0 
C1120,T,SK	: 	836 e	125 	28 	1958 	0 	22 	0 	24 	0 	0 
C1120,T,TR	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
C1120,T,UK	: 	: 	: 	0 	: 	0 	0 	0 	0 n	0 	: 
C1200,T,AL	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1200,T,BE	: 	1422 	1263 	1935 	1704 	1139 	1248 	: 	: 	: 	: 
C1200,T,BG	870 	420 	374 	211 	108 	180 	267 	686 	875 	121 	: 
C1200,T,CY	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
C1200,T,CZ	: 	4366 	6611 	8766 	7555 	5149 	3687 	5481 	4895 	5428 	5146 
C1200,T,EE	10642 	6646 	13802 	21769 	7495 	7391 	7366 	10013 	9072 	3648 	6420 
C1200,T,EL	: 	: 	546 	733 	770 	1338 	2588 	2196 	1014 	242 	: 
C1200,T,ES	: 	9823 	8895 	8347 	8525 	9354 	5190 	6573 	5891 	9703 	9829 
C1200,T,FI	: 	10100 	9500 	9900 	4200 	5800 	7800 	8800 	9000 	4240 	5100 
C1200,T,FR	: 	23825 e	15607 e	17707 	: 	: 	: 	: 	: 	: 	: 
C1200,T,HR	: 	614 	1029 	599 	357 	293 	296 	742 	1100 	108 	288 
C1200,T,HU	: 	4609 e	4186 	4614 	2650 	1830 	2239 	518 	1140 	1657 	758 
C1200,T,IE	: 	88 e	56 	116 	41 	30 	55 	28 	: 	: 	: 
C1200,T,IS	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 
C1200,T,IT	: 	: 	: 	: 	: 	720 	620 	323 	271 	: 	3005 
C1200,T,LT	: 	8757 	19400 	34465 	9250 	13499 	14388 	20748 	18371 	21039 	22756 
C1200,T,LU	: 	350 	330 	543 	631 	428 	250 	384 	: n	: n	: n
C1200,T,LV	: 	7680 	11117 	13655 	: 	6470 	5968 	6818 	5905 	3794 	6680 
C1200,T,ME	2 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1200,T,MK	: 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1200,T,MT	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
C1200,T,NL	: 	1934 	1840 	1024 	1265 	961 	1448 e	1183 	1549 	1574 	2415 
C1200,T,PL	: 	77094 	105477 	103480 	59880 	39837 	39874 	37691 	42003 	42809 	32839 
C1200,T,RO	: 	440 	318 	861 	276 	287 	327 	154 	298 	246 	468 
C1200,T,RS	: 	: 	1498 	612 	394 	980 	191 	20 	15 	126 	: 
C1200,T,SE	: 	12400 	25900 	35600 	9600 	9000 	6400 	9700 	9700 	5100 	4500 
C1200,T,SI	: 	: 	179 	141 	170 	139 	180 	178 	164 	166 	120 
C1200,T,SK	: 	1304 e	2915 	3430 	4845 	2246 	2309 	2450 	3895 	5140 	3110 
C1200,T,TR	: 	699 	1596 	1895 	2286 	2154 	2770 	3449 	1515 	1640 	: 
C1200,T,UK	: 	: 	: 	: c	2305 	2071 	1742 	3147 	2913 	1803 	: 
C1300,T,AL	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1300,T,BE	: 	5439 	5671 	4696 	5056 	4434 	3204 	: 	: 	: 	: 
C1300,T,BG	2134 	2733 	4693 	3986 	1840 	877 	457 	158 	477 	216 	: 
C1300,T,CY	: 	251 	253 	172 	239 	351 	98 	370 	137 	643 	: 
C1300,T,CZ	: 	8809 	8596 	8590 	6666 	7199 	6748 	7618 	7790 	7080 	5312 
C1300,T,EE	3384 	2869 	4522 	5799 	4372 	3820 	3290 	4892 	3914 	3822 	4118 
C1300,T,EL	: 	: 	11322 	13749 	11649 	12095 	11932 	12883 	15538 	6774 	: 
C1300,T,ES	: 	112795 	131809 	122878 	103189 	68211 	52826 	55957 	59804 	64770 	49236 
C1300,T,FI	: 	12500 	22900 	18300 	11800 	10600 	8100 	9400 	13800 	12380 	6640 
C1300,T,FR	: 	101687 e	89336 e	86230 	62419 	62078 	42365 	: 	: 	: 	: 
C1300,T,HR	: 	5490 	6459 	5691 	4114 	4497 	3409 	2480 	3375 	988 	832 
C1300,T,HU	: 	4847 e	4374 	5969 	3991 	3964 	2779 	5319 	5387 	3396 	1870 
C1300,T,IE	: 	932 e	738 	755 	544 	275 	387 	288 	: 	: 	: 
C1300,T,IT	: 	: 	: 	: 	: 	89281 	82325 	54828 	59097 	: 	167750 
C1300,T,LT	: 	3328 	7015 	6062 	6738 	4424 	4707 	7345 	6549 	6251 	5867 
C1300,T,LU	: 	269 	481 	335 	203 	319 	206 	341 	: n	: n	: n
C1300,T,LV	: 	3919 	6273 	6372 	: 	5802 	5586 	5785 	6758 	4414 	5763 
C1300,T,ME	27 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1300,T,MK	: 	1506 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1300,T,MT	: 	0 	0 n	2 	0 	1 	0 	0 	0 	2 	: 
