na_item,unit,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
B1GQ,CP_MEUR,NO	360552.4 	399069.2 	395856.8 	378456.4 	349756.7 	335396.5 	356288.5 	372657.6 	365130.5 	322823.8 	414394.9 	551408.9 
B1GQ,CP_MEUR,PL	377042.4 	385389.4 	388356.4 	406412.5 	429834.6 	424735.3 	465772.6 	499004.1 	532504.7 	526147.2 	576382.6 	656905.5 
B1GQ,CP_MEUR,PT	176096.2 	168295.6 	170492.3 	173053.7 	179713.2 	186489.8 	195947.2 	205184.1 	214374.6 	200518.9 	216053.2 	242340.8 p
B1GQ,CP_MEUR,RO	138520.7 	139319.8 	142928.9 	150522.4 	160287.8 	167494.3 	186399.0 	206071.9 	224178.6 	220486.6 	241268.4 p	285884.8 p
B1GQ,CP_MEUR,RS	35431.7 	33679.3 	36426.7 	35467.5 	35740.2 	36779.3 	39235.3 	42892.2 	46005.4 	46815.3 	53329.3 	60367.9 p
B1GQ,CP_MEUR,SE	412844.7 	430037.1 	441850.7 	438833.9 	455494.7 	466266.5 	480025.5 	470673.1 	476869.5 	480556.4 	540734.0 	562526.3 
B1GQ,CP_MEUR,SI	37058.6 	36253.3 	36454.3 	37634.3 	38852.6 	40443.2 	43011.3 	45876.3 	48582.3 	47044.9 	52278.8 	57037.7 
B1GQ,CP_MEUR,SK	71785.8 	73649.3 	74492.8 	76354.5 	80126.0 	81265.2 	84669.9 	89874.7 	94428.3 	93441.9 	100323.5 	109651.9 
B1GQ,CP_MEUR,TR	600961.4 	683587.3 	719726.6 	707000.8 	777042.3 	785618.9 	760497.1 	658963.4 	679135.8 	626785.3 	690246.0 	862309.6 
B1GQ,CP_MEUR,UK	1912869.3 	2111028.9 	2096338.0 	2311080.2 	2644716.5 	2434119.2 	2359789.9 	2420897.2 	2526615.2 	: 	: 	: 
B1GQ,CP_MEUR,XK	4555.9 	4797.3 	5071.3 	5325.1 	5674.4 	6037.3 	6356.5 	6671.5 	7056.2 	6771.6 	7957.9 	8954.9 p
