firmid,operprofit20,ros20,allemp19,parttimeratio19,select19,traintime19,pm19,incentive19,union19,laborconflict19,innovation_strat19,turnover19,newturnover19
102,3487050,6.25,110,0,3,16,2,120,0,1,0,0.009090909,0.045454545
103,10306557,5.16,170,0.041176471,4,30,4,80,0,2,0,0.061349693,0.018404908
104,14866412,2.41,144,0.104166667,3,35,3,120,0,2,0,0.031007752,0
105,2571832,2.72,154,0.006493506,5,26,5,100,1,3,0,0.091503268,0.013071895
106,62863880,8.16,427,0.00234192,5,8,2,170,1,3,1,0.046948357,0
107,-446036350,-15.22,4929,0.009941165,4,30,5,0,1,1,0,0.010245902,0
108,-3427401,-2.41,295,0.050847458,3,23,3,100,0,3,0,0.278571429,0.278571429
109,-1716979,-0.98,312,0.038461538,4,15,4,40,0,1,1,0.046666667,0.02
110,9128386,13.1,192,0.125,3,30,2,30,1,3,0,0.005952381,0
111,138552882,10.99,842,0.040380048,6,15,6,270,1,4,0,0.017326733,0.001237624
112,15611211,0.4,3674,0.040827436,3,16,4,158,1,2,0,0.00908059,0.000283768
113,1796825,2.29,232,0.103448276,3,28,2,0,1,4,1,0.067307692,0
114,-473062187,-13.71,6635,0.140467219,4,60,3,0,1,2,0,0.057513589,0
115,67322166,8.83,1232,0.081980519,5,33,3,100,0,1,1,0.069849691,0.018567639
116,4154491,2,129,0,3,16,5,0,0,3,0,0.496124031,0.093023256
117,50967277,7.95,3182,0.149277184,7,80,4,40,1,2,0,0.057997784,0.002955301
118,26113513,13.38,203,0,3,20,3,100,0,2,1,0.21182266,0.073891626
119,22629988,11.98,607,0.013179572,5,35,2,200,0,2,0,0.065108514,0.075125209
120,-10073071,-16.74,122,0,2,25,5,0,0,3,0,0.295081967,0.032786885
121,2998628,3.45,161,0,4,30,3,110,1,2,0,0,0
122,15806735,7.03,350,0.171428571,5,43,6,20,0,1,0,0.065517241,0.006896552
123,17404750,31.94,867,0,4,30,3,100,1,2,0,0.042675894,0.008073818
124,1451209,0.47,844,0,3,60,3,100,0,1,1,0.007109005,0.20971564
125,3161248,15.81,106,0.301886792,3,7,3,0,1,1,0,0.148648649,0
126,705842,1.99,360,0.138888889,3,5,0,100,0,2,0,0.241935484,0.016129032
127,37349150,6.31,1493,0.008037508,6,36,3,20,0,1,0,0.051316678,0.104659014
128,4251552,2.53,343,0,2,20,3,50,1,2,0,0.023323615,0.008746356
129,13257440,13.08,222,0,3,15,4,200,1,2,0,0.063063063,0.009009009
130,-8665207,-14.67,340,0,4,5,3,100,1,5,0,0.026470588,0
131,-2036672,-8.12,335,0,5,17,2,100,0,2,0,0.047761194,0
132,44293820,17.99,501,0.025948104,6,39,3,12,0,1,0,0.108606557,0.008196721
133,86323321,8.02,1050,0.19047619,4,40,4,20,1,2,0,0.047058824,0.005882353
134,16583842,3.93,342,0,3,33,2,100,1,2,0,0.014619883,0
135,2956254,4.11,112,0,6,58,2,8,0,1,0,0.125,0.017857143
136,46405165,1.31,682,0.030791789,4,27,4,150,1,3,0,0.040847201,0.010590015
137,-5870885,-5.74,193,0.025906736,3,24,2,0,1,4,0,0.021276596,0.026595745
138,-33593915,-12.78,317,0,3,15,4,100,0,3,0,0.141955836,0.031545741
139,12280298,2.98,635,0,5,24,2,300,0,2,1,0.018897638,0.075590551
140,4853751,28.89,1407,0.061833689,6,12,5,3,0,4,0,0.160606061,0.074242424
141,116236329,4.34,1719,0.089005236,3,15,4,264,1,3,0,0.089399745,0.011494253
142,26022207,5.25,608,0.004934211,4,30,2,5,0,1,0,0.003305785,0
143,140418904,9.41,2930,0.086348123,5,72,3,10,1,1,0,0.044826298,0.003735525
144,4347278,6.58,166,0,4,16,3,0,0,3,0,0.012048193,0
145,-11245904,-43.21,107,0,3,8,0,100,0,1,0,1.037383178,0.018691589
146,13011550,11.07,320,0,3,40,1,10,1,1,0,0.03125,0.2125
147,-9584590,-1.98,551,0.001814882,4,20,6,115.9,1,2,1,0.032727273,0.005454545
148,1627262,2.21,138,0,2,26,0,0,0,2,0,0,0.057971014
149,6117823,4.57,245,0,2,8,2,150,0,2,0,0.012244898,0.081632653
150,5174156,10.6,197,0,3,20,0,0,0,3,0,0.030456853,0.040609137
151,80266434,35.17,340,0,3,16,3,100,0,1,1,0,0.058823529
152,-1255729,-4.03,144,0.145833333,3,19,0,320,0,2,0,0.008130081,0.008130081
153,-1413239,-1.73,104,0.057692308,3,42,3,0,0,2,1,0.183673469,0.010204082
154,67128470,10.16,365,0.005479452,4,48,4,108,1,2,0,0.027548209,0
155,47734555,2.01,590,0.016949153,3,20,6,120,0,2,1,0.062068966,0.010344828
156,1081315,4.26,232,0.155172414,2,11,2,50,0,2,0,0.178571429,0.056122449
157,-4872219,-42.03,139,0,2,48,0,100,0,3,0,0.143884892,0.043165468
158,-16323672,-20.54,201,0.07960199,3,8,2,10,0,3,0,0.259459459,0.221621622
159,-14087152,-10.71,188,0.058510638,3,26,1,100,1,3,0,0.062146893,0.028248588
160,-1111391,-3.51,250,0.64,3,15,0,0,0,2,0,0.022222222,0
161,7131062,2.82,461,0.010845987,3,34,0,100,1,2,0,0.291666667,0.046052632
162,15116991,15.53,183,0.180327869,4,12,2,10,1,1,0,0,0.126666667
163,50530813,8.56,529,0.039697543,4,13,3,0,1,4,0,0.061023622,0.007874016
164,-8287993,-3.58,313,0.003194888,3,4,4,500,1,2,1,0.224358974,0.003205128
165,186266,0.17,396,0.045454545,2,17,3,10,1,2,0,0.018518519,0.007936508
166,-4610398,-7.97,1022,0.801369863,4,5,3,40,0,3,0,0.256157635,0.073891626
167,5363479,11.93,165,0.109090909,4,5,1,100,0,1,1,0.163265306,0.040816327
168,88976281,10.14,758,0.014511873,2,32,5,150,1,2,0,0.022757697,0
169,449147,0.25,495,0,3,40,3,30,1,2,1,0.018181818,0.018181818
170,-430879909,-90.24,3739,0.014709815,5,50,4,20,1,1,0,0.015200869,0.000814332
171,-45199,-0.07,1579,0.050664978,2,85,5,10,1,3,0,0.256170781,0.062041361
172,5161280,7.01,189,0,3,1,0,30,0,2,0,0.105820106,0.238095238
173,11289152,26.27,407,0.491400491,3,36,3,50,0,3,1,0.29468599,0.09178744
174,125133762,27.35,511,0.080234834,3,20,2,400,0,1,1,0.036170213,0.004255319
175,4950528,1.41,284,0.031690141,3,30,4,20,1,2,0,0.072727273,0.007272727
176,22343548,8.35,732,0,5,8,1,75,1,3,0,0.056010929,0
177,50147357,10.75,292,0.01369863,4,35,4,240,1,2,0,0.010416667,0
178,-33851903,-10.84,1246,0.146869984,3,20,3,0,0,2,0,0.068673565,0.269990593
179,656895,2.41,107,0,2,20,0,300,0,1,0,0,0
180,-9723,-0.05,227,0,4,26,6,30,0,3,0,0.044052863,0.079295154
181,5330314,1.65,1430,0.129370629,3,16,3,100,0,3,0,0.008032129,0.716465863
